rank#bib#name#country#time#deficit
<NA>#6#Breezy Johnson#United States#1:36.10#<NA>
<NA>#10#Emma Aicher#Germany#1:36.14#+0.04
<NA>#15#Sofia Goggia#Italy#1:36.69#+0.59
4.0#17#Jacqueline Wiles#United States#1:36.96#+0.86
4.0#11#Cornelia Hütter#Austria#1:36.96#+0.86
6.0#8#Laura Pirovano#Italy#1:37.04#+0.94
7.0#9#Kajsa Vickhoff Lie#Norway#1:37.08#+0.98
8.0#2#Ariane Rädler#Austria#1:37.20#+1.10
9.0#12#Kira Weidle-Winkelmann#Germany#1:37.26#+1.16
10.0#3#Federica Brignone#Italy#1:37.29#+1.19
11.0#14#Mirjam Puchner#Austria#1:37.65#+1.55
11.0#7#Nicol Delago#Italy#1:37.65#+1.55
13.0#23#Laura Gauché#France#1:37.98#+1.88
14.0#16#Corinne Suter#Switzerland#1:38.01#+1.91
15.0#20#Ilka Štuhec#Slovenia#1:38.08#+1.98
16.0#19#Romane Miradoli#France#1:38.10#+2.00
17.0#5#Janine Schmitt#Switzerland#1:38.28#+2.18
18.0#4#Jasmine Flury#Switzerland#1:38.51#+2.41
19.0#1#Malorie Blanc#Switzerland#1:38.77#+2.67
20.0#22#Elvedina Muzaferija#Bosnia and Herzegovina#1:38.81#+2.71
21.0#24#Isabella Wright#United States#1:38.85#+2.75
22.0#27#Julia Pleshkova#Individual Neutral Athletes#1:39.69#+3.59
23.0#25#Camille Cerutti#France#1:40.41#+4.31
24.0#29#Jordina Caminal#Andorra#1:41.34#+5.24
25.0#30#Barbora Nováková#Czech Republic#1:41.89#+5.79
26.0#32#Cassidy Gray#Canada#1:41.99#+5.89
27.0#33#Matilde Schwencke#Chile#1:43.31#+7.21
28.0#28#Rosa Pohjolainen#Finland#1:44.08#+7.98
29.0#35#Alena Labaštová#Czech Republic#1:44.55#+8.45
30.0#34#Nicole Begué#Argentina#1:44.73#+8.63
31.0#31#Elisa Maria Negri#Czech Republic#1:45.48#+9.38
32.0#36#Anastasiya Shepilenko#Ukraine#1:47.70#+11.60
<NA>#13#Lindsey Vonn#United States#DNF#<NA>
<NA>#18#Nina Ortlieb#Austria#DNF#<NA>
<NA>#26#Cande Moreno#Andorra#DNF#<NA>
<NA>#21#Valérie Grenier#Canada#DSQ#<NA>
