pos._pos.#class_class#no._no.#team_team#drivers_drivers#car_engine#laps_laps#time/retired_time/retired
1#P#888#Mercedes-AMG Team GMR#Maro Engel  Mikaël Grenier  Maxime Martin#Mercedes-AMG GT3 Evo#262#12:01:39.8777‡
1#P#888#Mercedes-AMG Team GMR#Maro Engel  Mikaël Grenier  Maxime Martin#Mercedes-AMG M159 6.2 L V8#262#12:01:39.8777‡
2#B#86#High Class Racing#Dorian Boccolacci  Anders Fjordbach  Kerong Li#Porsche 911 GT3 R (992)#262#+1.0368‡
2#B#86#High Class Racing#Dorian Boccolacci  Anders Fjordbach  Kerong Li#Porsche M97/80 4.2 L Flat-6#262#+1.0368‡
3#P#46#Team WRT#Augusto Farfus  Raffaele Marciello  Valentino Rossi#BMW M4 GT3 Evo#262#+6.8770
3#P#46#Team WRT#Augusto Farfus  Raffaele Marciello  Valentino Rossi#BMW P58 3.0 L Turbo I6#262#+6.8770
4#P#55#Jamec Racing Team MPC#Will Brown  Christopher Haase  Brad Schumacher#Audi R8 LMS Evo II#262#+7.8715
4#P#55#Jamec Racing Team MPC#Will Brown  Christopher Haase  Brad Schumacher#Audi DAR 5.2 L V10#262#+7.8715
5#B#89#Team KRC#Max Hesse  Maxime Oosten  Cunfan Ruan#BMW M4 GT3 Evo#262#+8.4578
5#B#89#Team KRC#Max Hesse  Maxime Oosten  Cunfan Ruan#BMW P58 3.0 L Turbo I6#262#+8.4578
6#P#911#Absolute Racing#Bastian Buus  Matt Campbell  Alessio Picariello#Porsche 911 GT3 R (992)#262#+10.7490
6#P#911#Absolute Racing#Bastian Buus  Matt Campbell  Alessio Picariello#Porsche M97/80 4.2 L Flat-6#262#+10.7490
7#P#75#75 Express#Jules Gounon  Kenny Habul  Luca Stolz#Mercedes-AMG GT3 Evo#262#+27.1289
7#P#75#75 Express#Jules Gounon  Kenny Habul  Luca Stolz#Mercedes-AMG M159 6.2 L V8#262#+27.1289
8#P#61#EBM#Klaus Bachler  Ricardo Feller  Laurin Heinrich#Porsche 911 GT3 R (992)#262#+27.8558
8#P#61#EBM#Klaus Bachler  Ricardo Feller  Laurin Heinrich#Porsche M97/80 4.2 L Flat-6#262#+27.8558
9#P#26#Arise Racing GT#Jaxon Evans  Davide Rigon  Daniel Serra#Ferrari 296 GT3#262#+28.2423
9#P#26#Arise Racing GT#Jaxon Evans  Davide Rigon  Daniel Serra#Ferrari F163CE 3.0 L Turbo V6#262#+28.2423
10#B#193#Ziggo Sport Tempesta by ARGT#Chris Froggatt  Jonathan Hui  Lorenzo Patrese  Ryan Wood#Ferrari 296 GT3#262#+36.1918
10#B#193#Ziggo Sport Tempesta by ARGT#Chris Froggatt  Jonathan Hui  Lorenzo Patrese  Ryan Wood#Ferrari F163CE 3.0 L Turbo V6#262#+36.1918
11#B#21#Herberth Motorsport#Ralf Bohn  Alfred Renauer  Robert Renauer#Porsche 911 GT3 R (992)#262#+36.5173
11#B#21#Herberth Motorsport#Ralf Bohn  Alfred Renauer  Robert Renauer#Porsche M97/80 4.2 L Flat-6#262#+36.5173
12#P#32#Team WRT#Jordan Pepper  Kelvin van der Linde  Charles Weerts#BMW M4 GT3 Evo#262#+1:05.7219
