name#grade#location#date_designated#grid_ref.[note_2]_geo-coordinates#entry_number_[note_3]#image#wikidata
K6 Telephone Kiosk, Horringer#II#IP29 5SJ#3 September 1987#TL8254061725 52°13′25″N 0°40′16″E﻿ / ﻿52.223476°N 0.67104421°E#1298918#Upload Photo#Q26586357
Great Horringer Hall#II#Bury Road#25 August 1983#TL8319562578 52°13′51″N 0°40′52″E﻿ / ﻿52.230919°N 0.681084°E#1280806#Upload Photo#Q26569898
Entrance Gates, Gatepiers and Railings to Ickworth Park#II#Gatepiers And Railings To Ickworth Park, The Street#25 August 1983#TL8254561963 52°13′32″N 0°40′16″E﻿ / ﻿52.225612°N 0.67124566°E#1205277#Upload Photo#Q26500636
Horsecroft Hall#II#Horsecroft Road#25 August 1983#TL8425161834 52°13′26″N 0°41′46″E﻿ / ﻿52.223886°N 0.69612339°E#1186983#Upload Photo#Q26482220
Little Horsecroft Cottage#II#Horsecroft Road#25 August 1983#TL8447961607 52°13′18″N 0°41′58″E﻿ / ﻿52.221771°N 0.69933375°E#1186984#Upload Photo#Q26482221
Lodge Cottage#II#Horsecroft Road#25 August 1983#TL8437362209 52°13′38″N 0°41′53″E﻿ / ﻿52.227213°N 0.69811164°E#1205254#Upload Photo#Q26500615
Briar Cottage#II#Ickworth Park#25 August 1983#TL8227262598 52°13′53″N 0°40′03″E﻿ / ﻿52.231405°N 0.6675953°E#1205255#Upload Photo#Q26500616
Little Horringer Hall and Cottages#II#Little Horringer#14 July 1955#TL8181962851 52°14′02″N 0°39′40″E﻿ / ﻿52.233827°N 0.66110571°E#1186985#Upload Photo#Q26482222
Horringer Manor#II#Manor Lane#25 August 1983#TL8297661971 52°13′32″N 0°40′39″E﻿ / ﻿52.225541°N 0.67755286°E#1298942#Upload Photo#Q26586379
The Cottage#II#Manor Lane#25 August 1983#TL8305061800 52°13′26″N 0°40′43″E﻿ / ﻿52.223981°N 0.67854255°E#1205261#Upload Photo#Q26500622
The Forge#II#Manor Lane#25 August 1983#TL8270862038 52°13′34″N 0°40′25″E﻿ / ﻿52.226231°N 0.67366983°E#1205259#Upload Photo#Q26500620
The Gables#II#Manor Lane#25 August 1983#TL8280561968 52°13′32″N 0°40′30″E﻿ / ﻿52.225571°N 0.67505056°E#1186986#Upload Photo#Q26482223
Meadow Cottage#II#Sharps Lane#21 February 1972#TL8288860856 52°12′56″N 0°40′32″E﻿ / ﻿52.215557°N 0.67566375°E#1298943#Upload Photo#Q26586380
Shrubland Lodge#II#Sharps Lane#25 August 1983#TL8286160986 52°13′00″N 0°40′31″E﻿ / ﻿52.216733°N 0.67533918°E#1280808#Upload Photo#Q26569900
1, 2 and 3 the Gildhall#II#1, 2 and 3 The Gildhall, The Street#21 February 1972#TL8262061903 52°13′30″N 0°40′20″E﻿ / ﻿52.225048°N 0.67231009°E#1186990#Upload Photo#Q26482227
The Cottage, 1 the Gildhall#II#1 The Gildhall, The Street#25 August 1983#TL8260661891 52°13′30″N 0°40′20″E﻿ / ﻿52.224945°N 0.67209888°E#1298946#Upload Photo#Q26586383
Weavers Cottages#II#1 and 2, The Street#14 July 1955#TL8257061803 52°13′27″N 0°40′17″E﻿ / ﻿52.224167°N 0.67152497°E#1186988#Upload Photo#Q26482225
3 and 4 Godfreys Cottages#II#3 and 4 Godfreys Cottages, The Street#25 August 1983#TL8251060931 52°12′59″N 0°40′13″E﻿ / ﻿52.216355°N 0.67017758°E#1280785#Upload Photo#Q26569877
