fin#st##driver#team#make#laps#led#status#pts
1#28#34#Layne Riggs#Front Row Motorsports#Ford#80#41#Running#70
2#22#88#Ty Majeski#ThorSport Racing#Ford#80#2#Running#42
3#4#99#Ben Rhodes#ThorSport Racing#Ford#80#23#Running#50
4#5#38#Chandler Smith#Front Row Motorsports#Ford#80#7#Running#49
5#19#11#Kaden Honeycutt#Tricon Garage#Toyota#80#0#Running#34
6#8#45#Landen Lewis#Niece Motorsports#Chevrolet#80#0#Running#47
7#14#44#Andrés Pérez de Lara#Niece Motorsports#Chevrolet#80#0#Running#32
8#34#19#Daniel Hemric#McAnally–Hilgemann Racing#Chevrolet#80#0#Running#29
9#16#25#Colin Braun#Kaulig Racing#Ram#80#0#Running#28
10#3#77#James Hinchcliffe#Spire Motorsports#Chevrolet#80#0#Running#27
11#35#4#Ben Maier#Niece Motorsports#Chevrolet#80#0#Running#26
12#11#16#Justin Haley#Kaulig Racing#Ram#80#0#Running#25
13#1#7#Connor Mosack#Spire Motorsports#Chevrolet#80#7#Running#33
14#30#13#Cole Butcher (R)#ThorSport Racing#Ford#80#0#Running#23
15#31#91#Christian Eckes#McAnally–Hilgemann Racing#Chevrolet#80#0#Running#22
16#18#42#Tyler Reif#Niece Motorsports#Chevrolet#80#0#Running#21
17#12#10#Daniel Dye#Kaulig Racing#Ram#80#0#Running#20
18#9#98#Jake Garcia#ThorSport Racing#Ford#80#0#Running#19
19#20#81#Kris Wright#McAnally–Hilgemann Racing#Chevrolet#80#0#Running#18
20#29#15#Tanner Gray#Tricon Garage#Toyota#80#0#Running#17
21#26#2#Carter Fartuch#Team Reaume#Ford#80#0#Running#16
22#25#9#Grant Enfinger#CR7 Motorsports#Chevrolet#80#0#Running#17
23#10#5#Adam Andretti#Tricon Garage#Toyota#80#0#Running#14
24#15#12#Brenden Queen (R)#Kaulig Racing#Ram#80#0#Running#13
25#2#17#Gio Ruggiero#Tricon Garage#Toyota#79#0#Running#23
26#17#52#Stewart Friesen#Halmar Friesen Racing#Toyota#79#0#Running#11
27#6#1#Dario Franchitti#Tricon Garage#Toyota#79#0#Running#18
28#21#14#Mini Tyrrell (R)#Kaulig Racing#Ram#77#0#Running#9
29#24#22#Jackson Lee#Team Reaume#Ford#75#0#Running#8
30#23#33#Frankie Muniz#Team Reaume#Ford#74#0#Running#7
31#13#18#Tyler Ankrum#McAnally–Hilgemann Racing#Chevrolet#70#0#Running#13
32#36#56#Timmy Hill#Hill Motorsports#Toyota#63#0#Running#5
33#33#26#Dawson Sutton#Rackley W.A.R.#Chevrolet#62#0#Accident#4
34#27#76#Nathan Nicholson#Freedom Racing Enterprises#Chevrolet#55#0#Accident#3
