pos#driver#hom#hom.1#hom.2#points
1#Max Mokarem#1*#4#1*#82
2#Karol Pasiewicz#2#2#2#75
3#Vilho Aatola#3#3#12#53
4#Olivier Mrak#4#9#3#53
5#Iván Machado Pérez#19#1*#14*#43
6#Casper Nissen#7#10#6#41
7#Bex Cranston#5#6#16#38
8#Cole Medeiros#18#5#5#37
9#Victor Couto#9#11#7#36
10#Max Cuthbert#10#19#4#33
11#Brenden Cooley#6#18#8#31
12#Leonardo Serravalle#8#8#18#29
13#Grant Mitchell#14#14#11#24
14#Pipe Chaparro#20#12#10#21
15#Elías Vignola#17#7#19#20
16#Connor Aspley#12#20#13#18
17#Alex Berg#21#17#9#17
18#Jared Oselka#13#13#20#17
19#Maddie Colleran#16#15#15#17
20#John Main#11#16#21#16
21#Aryan Narola#15#21#17#11
