seattle_offense#position_offense#position_offense.1#new_england_offense
Cooper Kupp#WR#WR#Mack Hollins
Jaxon Smith-Njigba#WR#RB#TreVeyon Henderson
AJ Barner#TE#TE#Austin Hooper
Eric Saubert#TE#TE#Hunter Henry
Charles Cross#LT#LT#Will Campbell
Grey Zabel#LG#LG#Jared Wilson
Jalen Sundell#C#C#Garrett Bradbury
Anthony Bradford#RG#RG#Mike Onwenu
Abraham Lucas#RT#RT#Morgan Moses
Sam Darnold#QB#QB#Drake Maye
Kenneth Walker III#RB#RB#Rhamondre Stevenson
Defense#Defense#Defense#Defense
Leonard Williams#DT#DT#Milton Williams
Byron Murphy II#NT#NT#Cory Durden
Uchenna Nwosu#LB#LB#Jahlani Tavai
DeMarcus Lawrence#LB#LB#Anfernee Jennings
Ernest Jones#LB#LB#Jack Gibbens
Drake Thomas#LB#LB#Robert Spillane
Devon Witherspoon#CB#CB#Carlton Davis
Josh Jobe#CB#CB#Christian Gonzalez
Nick Emmanwori#S#DT#Christian Barmore
Coby Bryant#S#S#Jaylinn Hawkins
Julian Love#S#S#Craig Woodson
