ep._ep.#original_broadcast_date_original_broadcast_date#average_audience_share_(nielsen_korea)[20][21]_nationwide#average_audience_share_(nielsen_korea)[20][21]_seoul
1#February 4, 2026#1.894% (4th)#1.771% (4th)
2#February 5, 2026#1.330% (5th)#1.389% (3rd)
3#February 11, 2026#1.790% (4th)#1.602% (4th)
4#February 12, 2026#1.536% (2nd)#1.572% (2nd)
5#February 18, 2026#1.3% (13th)#<NA>
6#February 19, 2026#1.353% (5th)#1.169% (7th)
7#February 25, 2026#1.873% (2nd)#1.861% (2nd)
8#February 26, 2026#1.416% (3rd)#1.489% (2nd)
9#March 4, 2026#<NA>#<NA>
10#March 5, 2026#<NA>#<NA>
11#March 11, 2026#<NA>#<NA>
12#March 12, 2026#<NA>#<NA>
Average#Average#<NA>#<NA>
