team#no.#driver(s)
Berg Racing#68#Alex Berg
Berg Racing#<NA>#<NA>
DEForce Racing#14#Vilho Aatola
DEForce Racing#19#Elías Vignola
DEForce Racing#20#Pipe Chaparro
Exclusive Autosport#90#Bex Cranston
Exclusive Autosport#91#Connor Aspley
Exclusive Autosport#92#Brenden Cooley
Exclusive Autosport#97#Cole Medeiros
JHDD powered by ECR#6#Casper Nissen
JHDD powered by ECR#7#Aryan Narola
JHDD powered by ECR#8#Max Cuthbert
JHDD powered by ECR#9#John Main
Olivia Racing#25#Karol Pasiewicz
VRD Racing by Pole Position#10#Iván Machado Pérez
Zanella Racing#21#Jared Oselka
Zanella Racing#23#Olivier Mrak
Zanella Racing#28#Grant Mitchell
Zanella Racing#29#Maddie Colleran
Zanella Racing#46#Max Mokarem
Zanella Racing#87#Leonardo Serravalle
Zanella Racing#88#Victor Couto
