fin#st##driver#team#make#laps#led#status#pts
1#3#7#Kyle Busch (i)#Spire Motorsports#Chevrolet#125#37#Running#0
2#18#77#Carson Hocevar (i)#Spire Motorsports#Chevrolet#125#0#Running#0
3#10#17#Gio Ruggiero#Tricon Garage#Toyota#125#0#Running#40
4#2#99#Ben Rhodes#ThorSport Racing#Ford#125#70#Running#42
5#20#1#Corey Heim#Tricon Garage#Toyota#125#6#Running#44
6#22#38#Chandler Smith#Front Row Motorsports#Ford#125#0#Running#38
7#1#98#Jake Garcia#ThorSport Racing#Ford#125#2#Running#34
8#12#62#John Hunter Nemechek (i)#Halmar Friesen Racing#Toyota#125#0#Running#0
9#5#45#Ricky Stenhouse Jr. (i)#Niece Motorsports#Chevrolet#125#0#Running#0
10#25#16#Justin Haley#Kaulig Racing#Ram#125#0#Running#27
11#26#25#Ty Dillon (i)#Kaulig Racing#Ram#125#0#Running#0
12#8#5#Adam Andretti#Tricon Garage#Toyota#125#0#Running#25
13#30#10#Daniel Dye#Kaulig Racing#Ram#125#0#Running#24
14#4#18#Tyler Ankrum#McAnally–Hilgemann Racing#Chevrolet#125#0#Running#23
15#9#44#Andrés Pérez de Lara#Niece Motorsports#Chevrolet#125#0#Running#29
16#28#12#Brenden Queen (R)#Kaulig Racing#Ram#125#0#Running#21
17#27#42#Tyler Reif#Niece Motorsports#Chevrolet#125#0#Running#20
18#21#81#Kris Wright#McAnally–Hilgemann Racing#Chevrolet#125#0#Running#19
19#29#14#Mini Tyrrell (R)#Kaulig Racing#Ram#124#0#Running#18
20#16#52#Stewart Friesen#Halmar Friesen Racing#Toyota#124#10#Running#32
21#11#11#Kaden Honeycutt#Tricon Garage#Toyota#123#0#Running#19
22#14#9#Grant Enfinger#CR7 Motorsports#Chevrolet#123#0#Running#15
23#33#2#Clayton Green#Team Reaume#Ford#123#0#Running#14
24#31#22#Josh Reaume#Team Reaume#Ford#123#0#Running#13
25#32#33#Frankie Muniz#Team Reaume#Ford#123#0#Running#12
26#24#76#Spencer Boyd#Freedom Racing Enterprises#Chevrolet#120#0#Running#11
27#19#34#Layne Riggs#Front Row Motorsports#Ford#119#0#Running#11
28#7#88#Ty Majeski#ThorSport Racing#Ford#119#0#Running#15
29#34#69#Tyler Tomassi#MBM Motorsports#Ford#119#0#Running#8
30#17#15#Tanner Gray#Tricon Garage#Toyota#116#0#Running#8
31#6#13#Cole Butcher (R)#ThorSport Racing#Ford#100#0#Accident#6
32#23#26#Dawson Sutton#Rackley W.A.R.#Chevrolet#100#0#Accident#5
33#36#93#Caleb Costner#Costner Motorsports#Chevrolet#99#0#Handling#4
