march_(1–0)_date#march_(1–0)_opponent#march_(1–0)_site/stadium
Mar. 1#UC San Diego#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Mar. 4#No. 2 LSU#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Mar. 6#at Dallas Baptist#Horner Ballpark • Dallas, TX
Mar. 7#at Dallas Baptist#Horner Ballpark • Dallas, TX
Mar. 8#at Dallas Baptist#Horner Ballpark • Dallas, TX
Mar. 10#UT Rio Grande Valley#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Mar. 11#McNeese#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Mar. 13#South Alabama#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Mar. 14#South Alabama#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Mar. 15#South Alabama#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Mar. 18#at Houston#Don Sanders Field at Darryl & Lori Schroeder Park • Houston, TX
Mar. 20#at Texas State#Bobcat Ballpark • San Marcos, TX
Mar. 21#at Texas State#Bobcat Ballpark • San Marcos, TX
Mar. 22#at Texas State#Bobcat Ballpark • San Marcos, TX
Mar. 24#Southeastern Louisiana#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Mar. 27#Louisiana–Monroe#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Mar. 28#Louisiana–Monroe#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Mar. 29#Louisiana–Monroe#M. L. Tigue Moore Field at Russo Park • Lafayette, LA
Mar. 31#at McNeese#Joe Miller Ballpark • Lake Charles, LA
