pos_pos#class_class#no_no#team_team#drivers_drivers#chassis_engine#tyre_tyre#laps_laps#time/retired_time/retired
1#LMP2#4#CrowdStrike Racing by APR#Louis Delétraz  Malthe Jakobsen  George Kurtz#Oreca 07#M#133#4:01:39.058‡
1#LMP2#4#CrowdStrike Racing by APR#Louis Delétraz  Malthe Jakobsen  George Kurtz#Gibson GK428 4.2 L V8#M#133#4:01:39.058‡
2#LMP2#20#Algarve Pro Racing#John Falb  Matthias Kaiser  Sami Meguetounif#Oreca 07#M#133#+2.029
2#LMP2#20#Algarve Pro Racing#John Falb  Matthias Kaiser  Sami Meguetounif#Gibson GK428 4.2 L V8#M#133#+2.029
3#LMP2#30#RD Limited#James Allen  Fred Poordad  Tristan Vautier#Oreca 07#M#133#+25.253
3#LMP2#30#RD Limited#James Allen  Fred Poordad  Tristan Vautier#Gibson GK428 4.2 L V8#M#133#+25.253
4#LMP2#3#DKR Engineering#Mathias Beche  Alexander Mattschull  Griffin Peebles#Oreca 07#M#133#+27.421
4#LMP2#3#DKR Engineering#Mathias Beche  Alexander Mattschull  Griffin Peebles#Gibson GK428 4.2 L V8#M#133#+27.421
5#LMP2#25#Algarve Pro Racing#Tom Dillmann  Michael Jensen  Enzo Trulli#Oreca 07#M#133#+28.056
5#LMP2#25#Algarve Pro Racing#Tom Dillmann  Michael Jensen  Enzo Trulli#Gibson GK428 4.2 L V8#M#133#+28.056
6#LMP2#6#United Autosports#Paul di Resta  Phil Fayer  Ben Hanley#Oreca 07#M#133#+34.577
6#LMP2#6#United Autosports#Paul di Resta  Phil Fayer  Ben Hanley#Gibson GK428 4.2 L V8#M#133#+34.577
7#LMP2#88#Proton Competition#Horst Felbermayr Jr.  Horst Felix Felbermayr  Lorenzo Fluxá#Oreca 07#M#133#+52.369
7#LMP2#88#Proton Competition#Horst Felbermayr Jr.  Horst Felix Felbermayr  Lorenzo Fluxá#Gibson GK428 4.2 L V8#M#133#+52.369
8#LMP2#49#High Class Racing#Theodor Jensen  Gustavo Menezes  Jens Reno Møller#Oreca 07#M#133#+53.277
8#LMP2#49#High Class Racing#Theodor Jensen  Gustavo Menezes  Jens Reno Møller#Gibson GK428 4.2 L V8#M#133#+53.277
9#LMP2#43#Inter Europol Competition#Bijoy Garg  Georgios Kolovos  Nolan Siegel#Oreca 07#M#133#+1:20.546
9#LMP2#43#Inter Europol Competition#Bijoy Garg  Georgios Kolovos  Nolan Siegel#Gibson GK428 4.2 L V8#M#133#+1:20.546
10#LMP2#70#Vector Sport RLR#Jacob Abel  Vladislav Lomko  Daniel Schneider#Oreca 07#M#132#+1 Lap
10#LMP2#70#Vector Sport RLR#Jacob Abel  Vladislav Lomko  Daniel Schneider#Gibson GK428 4.2 L V8#M#132#+1 Lap
11#LMP2#47#Cetilar Racing#Antonio Fuoco  Roberto Lacorte  Charles Milesi#Oreca 07#M#132#+1 Lap
11#LMP2#47#Cetilar Racing#Antonio Fuoco  Roberto Lacorte  Charles Milesi#Gibson GK428 4.2 L V8#M#132#+1 Lap
12#LMP2#45#PONOS Racing#Kei Cozzolino  Marino Sato  Yorikatsu Tsujiko#Oreca 07#M#132#+1 Lap
12#LMP2#45#PONOS Racing#Kei Cozzolino  Marino Sato  Yorikatsu Tsujiko#Gibson GK428 4.2 L V8#M#132#+1 Lap
