2026_arizona_wildcats_baseball_game_log[4][5]_regular_season_date#2026_arizona_wildcats_baseball_game_log[4][5]_regular_season_opponent#2026_arizona_wildcats_baseball_game_log[4][5]_regular_season_site/stadium
Feb 13#vs. Stanford#Surprise Stadium • Surprise, AZ
Feb 14#vs. 12 Oregon State#Surprise Stadium • Surprise, AZ
Feb 15#vs. Michigan#Surprise Stadium • Surprise, AZ
Feb 17#Omaha#Hi Corbett Field • Tucson, AZ
Feb 19#UConn#Hi Corbett Field • Tucson, AZ
Feb 20#UConn#Hi Corbett Field • Tucson, AZ
Feb 21#UConn#Hi Corbett Field • Tucson, AZ
Feb 22#UConn#Hi Corbett Field • Tucson, AZ
Feb 27#vs. Oregon#Las Vegas Ballpark • Summerlin South, NV
Feb 28#vs. Vanderbilt#Las Vegas Ballpark • Summerlin South, NV
Mar 1#vs. UC Irvine#Las Vegas Ballpark • Summerlin South, NV
Mar 3#Grand Canyon#Hi Corbett Field • Tucson, AZ
Mar 6#Fresno State#Hi Corbett Field • Tucson, AZ
Mar 7#Fresno State#Hi Corbett Field • Tucson, AZ
Mar 8#Fresno State#Hi Corbett Field • Tucson, AZ
Mar 10#at Arizona State#Phoenix Municipal Stadium • Phoenix, AZ
Mar 13#at Utah#America First Ballpark • Salt Lake City, UT
Mar 14#at Utah#America First Ballpark • Salt Lake City, UT
Mar 15#at Utah#America First Ballpark • Salt Lake City, UT
Mar 17#New Mexico#Hi Corbett Field • Tucson, AZ
Mar 20#Texas Tech#Hi Corbett Field • Tucson, AZ
Mar 21#Texas Tech#Hi Corbett Field • Tucson, AZ
Mar 22#Texas Tech#Hi Corbett Field • Tucson, AZ
Mar 24#Grand Canyon#Hi Corbett Field • Tucson, AZ
Mar 27#at UCF#John Euliano Park • Orlando, FL
Mar 28#at UCF#John Euliano Park • Orlando, FL
Mar 29#at UCF#John Euliano Park • Orlando, FL
Mar 31#West Virginia#Hi Corbett Field • Tucson, AZ
Apr 2#Arizona State#Hi Corbett Field • Tucson, AZ
Apr 3#Arizona State#Hi Corbett Field • Tucson, AZ
Apr 4#Arizona State#Hi Corbett Field • Tucson, AZ
Apr 8#New Mexico State#Hi Corbett Field • Tucson, AZ
Apr 10#at TCU#Lupton Stadium • Fort Worth, TX
Apr 11#at TCU#Lupton Stadium • Fort Worth, TX
Apr 12#at TCU#Lupton Stadium • Fort Worth, TX
Apr 13#at Arizona State#Phoenix Municipal Stadium • Phoenix, AZ
Apr 17#Kansas State#Hi Corbett Field • Tucson, AZ
Apr 18#Kansas State#Hi Corbett Field • Tucson, AZ
Apr 19#Kansas State#Hi Corbett Field • Tucson, AZ
Apr 23#BYU#Hi Corbett Field • Tucson, AZ
Apr 24#BYU#Hi Corbett Field • Tucson, AZ
Apr 25#BYU#Hi Corbett Field • Tucson, AZ
Apr 28#at Grand Canyon#Brazell Field • Phoenix, AZ
May 1#at Kansas#Hoglund Ballpark • Lawrence, KS
May 2#at Kansas#Hoglund Ballpark • Lawrence, KS
May 3#at Kansas#Hoglund Ballpark • Lawrence, KS
May 6#New Mexico State#Hi Corbett Field • Tucson, AZ
May 8#Houston#Hi Corbett Field • Tucson, AZ
May 9#Houston#Hi Corbett Field • Tucson, AZ
May 10#Houston#Hi Corbett Field • Tucson, AZ
