march_(2–0)_date#march_(2–0)_opponent#march_(2–0)_site/stadium#march_(2–0)_attendance
March 1#St. John's*#Kentucky Proud Park#SECN+
March 3#at Eastern Kentucky*#Turkey Hughes Field#ESPN+
March 4#Eastern Kentucky*#Kentucky Proud Park#SECN+
March 6#The Citadel*#Kentucky Proud Park#SECN+
March 7#The Citadel*#Kentucky Proud Park#SECN+
March 8#The Citadel*#Kentucky Proud Park#SECN+
March 10#Ball State*#Kentucky Proud Park#SECN+
March 13#Alabama#Kentucky Proud Park#<NA>
March 14#Alabama#Kentucky Proud Park#<NA>
March 15#Alabama#Kentucky Proud Park#<NA>
March 17#Marshall*#Kentucky Proud Park#<NA>
March 19#at Ole Miss#Swayze Field#<NA>
March 20#at Ole Miss#Swayze Field#<NA>
March 21#at Ole Miss#Swayze Field#<NA>
March 24#Murray State*#Kentucky Proud Park#<NA>
March 27#at LSU#Alex Box Stadium#<NA>
March 28#at LSU#Alex Box Stadium#<NA>
March 29#at LSU#Alex Box Stadium#<NA>
