event#gold#silver#bronze
55 kg details#Mohammad Panahisani  Iran#Ikhtiyor Botirov  Uzbekistan#Ömer Halis Recep  Turkey
55 kg details#Mohammad Panahisani  Iran#Ikhtiyor Botirov  Uzbekistan#Pouya Dadmarz  Iran
60 kg details#Koto Gomi  Japan#Alisher Ganiev  Uzbekistan#Amangali Bekbolatov  Kazakhstan
60 kg details#Koto Gomi  Japan#Alisher Ganiev  Uzbekistan#Yerbol Kamaliyev  Kazakhstan
63 kg details#Erfan Jarkani  Iran#Chetan Sharma  India#Vitalie Eriomenco  Moldova
63 kg details#Erfan Jarkani  Iran#Chetan Sharma  India#Meisam Dalkhani  Iran
67 kg details#Aytjan Khalmakhanov  Uzbekistan#Diego Chkhikvadze  Georgia#Kyotaro Sogabe  Japan
67 kg details#Aytjan Khalmakhanov  Uzbekistan#Diego Chkhikvadze  Georgia#Katsuaki Endo  Japan
72 kg details#Moustafa Alameldin  Egypt#Nika Broladze  Georgia#Almatbek Amanbek  Kazakhstan
72 kg details#Moustafa Alameldin  Egypt#Nika Broladze  Georgia#Shakhzod Kuchkorov  Uzbekistan
77 kg details#Ali Oskou  Iran#Zoltán Lévai  Hungary#Abdullo Aliev  Uzbekistan
77 kg details#Ali Oskou  Iran#Zoltán Lévai  Hungary#Róbert Fritsch  Hungary
82 kg details#Yüksel Sarıçiçek  Turkey#Mihail Bradu  Moldova#Mohammad Reza Mokhtari  Iran
82 kg details#Yüksel Sarıçiçek  Turkey#Mihail Bradu  Moldova#Ibragim Magomadov  Kazakhstan
87 kg details#István Takács  Hungary#Tamás Lévai  Hungary#Mukhammadkodir Rasulov  Uzbekistan
87 kg details#István Takács  Hungary#Tamás Lévai  Hungary#Erik Szilvássy  Hungary
97 kg details#Alex Szőke  Hungary#Islam Yevloyev  Kazakhstan#Mohammad Hadi Seydi  Iran
97 kg details#Alex Szőke  Hungary#Islam Yevloyev  Kazakhstan#Giorgi Melia  Georgia
130 kg details#Rıza Kayaalp  Turkey#Cohlton Schultz  United States#Dáriusz Vitek  Hungary
130 kg details#Rıza Kayaalp  Turkey#Cohlton Schultz  United States#Olzhas Syrlybay  Kazakhstan
