date_north_america#city_north_america#country_north_america#venue_north_america#opening_act(s)_north_america
February 6, 2026#Portland, Oregon#United States#Roseland Theater#Adrian Lyles
February 7, 2026#Seattle, Washington#United States#The Paramount Theatre#Adrian Lyles
February 10, 2026#Los Angeles, California#United States#The Wiltern#Adrian Lyles
February 11, 2026#Anaheim, California#United States#House of Blues#Adrian Lyles
February 12, 2026#Oakland, California#United States#Fox Theater#Adrian Lyles
February 14, 2026#Salt Lake City, Utah#United States#The Complex (Rockwell)#Adrian Lyles
February 15, 2026#Denver, Colorado#United States#The Mission Ballroom#Adrian Lyles
February 17, 2026#Minneapolis, Minnesota#United States#Fillmore#Adrian Lyles
February 18, 2026#Chicago, Illinois#United States#The Salt Shed#Adrian Lyles
February 20, 2026#Washington, D.C.#United States#The Anthem#Adrian Lyles
February 21, 2026#Philadelphia, Pennsylvania#United States#Fillmore#Adrian Lyles
February 24, 2026#Detroit, Michigan#United States#The Fillmore#Adrian Lyles
February 25, 2026#Toronto, Ontario#Canada#Massey Hall#Adrian Lyles
February 27, 2026#Boston, Massachusetts#United States#House of Blues#Adrian Lyles
February 28, 2026#New York City, New York#United States#Hammerstein Ballroom#Adrian Lyles
Europe#Europe#Europe#Europe#Europe
March 3, 2026#Birmingham, England#United Kingdom#O2 Academy#Adrian Lyles
March 5, 2026#London, England#United Kingdom#O2 Forum Kentish Town#Adrian Lyles
March 6, 2026#London, England#United Kingdom#O2 Forum Kentish Town#Adrian Lyles
March 8, 2026#Manchester, England#United Kingdom#O2 Victoria Warehouse#Adrian Lyles
Oceania#Oceania#Oceania#<NA>#<NA>
June 07, 2026#Brisbane, Austrailia#<NA>#<NA>#<NA>
June 09, 2026#Sydney, Austrailia#<NA>#<NA>#<NA>
June 11, 2026#Melbourne, Austrailia#<NA>#<NA>#<NA>
North America#North America#North America#North America#North America
