march_(0–2)_date#march_(0–2)_opponent#march_(0–2)_rank#march_(0–2)_site/stadium#march_(0–2)_tv
March 1#vs. No. 1 UCLA#No. 4#Globe Life Field • Arlington, TX#FloCollege
March 3#at No. 10 Southern Miss#No. 4#Pete Taylor Park • Hattiesburg, MS#ESPN+
March 6#Lipscomb#No. 4#Dudy Noble Field • Starkville, MS#SECN+
March 7#Lipscomb#No. 4#Dudy Noble Field • Starkville, MS#SECN+
March 8#Lipscomb#No. 4#Dudy Noble Field • Starkville, MS#SECN+
Hancock Whitney Classic#Hancock Whitney Classic#Hancock Whitney Classic#Hancock Whitney Classic#Hancock Whitney Classic
March 10#vs. Tulane#<NA>#Keesler Federal Park • Biloxi, MS#SECN+
March 13#at Arkansas#<NA>#Baum–Walker Stadium • Fayetteville, AR#SECN+
March 14#at Arkansas#<NA>#Baum–Walker Stadium • Fayetteville, AR#SECN
March 15#at Arkansas#<NA>#Baum–Walker Stadium • Fayetteville, AR#SECN+
March 17#Jackson State#<NA>#Dudy Noble Field • Starkville, MS#SECN+
March 20#Vanderbilt#<NA>#Dudy Noble Field • Starkville, MS#SECN
March 21#Vanderbilt#<NA>#Dudy Noble Field • Starkville, MS#SECN+
March 22#Vanderbilt#<NA>#Dudy Noble Field • Starkville, MS#SECN+
March 24#Southern Miss#<NA>#Dudy Noble Field • Starkville, MS#SECN+
March 27#at Ole Miss#<NA>#Swayze Field • Oxford, MS#SECN+
March 28#at Ole Miss#<NA>#Swayze Field • Oxford, MS#SECN+
March 29#at Ole Miss#<NA>#Swayze Field • Oxford, MS#SECN
March 31#Grambling State#<NA>#Dudy Noble Field • Starkville, MS#SECN+
