rank#bib#name#country#start#time#penalties_(p+p+s+s)#deficit
<NA>#5#Lisa Vittozzi#Italy#0:41#30:11.8#0 (0+0+0+0)#<NA>
<NA>#1#Maren Kirkeeide#Norway#0:00#30:40.6#3 (0+1+0+2)#+28.8
<NA>#6#Suvi Minkkinen#Finland#0:50#30:46.1#0 (0+0+0+0)#+34.3
4.0#3#Lou Jeanmonnot#France#0:24#31:01.2#3 (0+1+1+1)#+49.4
5.0#2#Océane Michelon#France#0:04#31:08.9#4 (2+0+1+1)#+57.1
6.0#7#Franziska Preuß#Germany#1:00#31:19.8#2 (0+0+0+2)#+1:08.0
7.0#11#Lora Hristova#Bulgaria#1:13#31:24.0#0 (0+0+0+0)#+1:12.2
8.0#18#Hanna Öberg#Sweden#1:27#31:31.5#2 (1+0+0+1)#+1:19.7
9.0#44#Dorothea Wierer#Italy#2:13#31:42.1#1 (0+1+0+0)#+1:30.3
10.0#22#Linn Gestblom#Sweden#1:33#31:47.2#2 (0+0+2+0)#+1:35.4
11.0#16#Estere Volfa#Latvia#1:27#31:49.9#1 (0+0+1+0)#+1:38.1
12.0#8#Kamila Żuk#Poland#1:09#31:53.6#3 (1+1+1+0)#+1:41.8
13.0#41#Natalia Sidorowicz#Poland#2:10#31:56.8#0 (0+0+0+0)#+1:45.0
14.0#4#Milena Todorova#Bulgaria#0:40#31:57.0#3 (0+0+1+2)#+1:45.2
15.0#14#Karoline Offigstad Knotten#Norway#1:19#32:16.2#2 (0+1+0+1)#+2:04.4
16.0#28#Joanna Jakieła#Poland#1:40#32:28.5#3 (2+0+0+1)#+2:16.7
17.0#35#Anna Magnusson#Sweden#1:57#32:29.4#3 (2+0+1+0)#+2:17.6
18.0#19#Tereza Voborníková#Czech Republic#1:29#32:30.5#2 (0+0+0+2)#+2:18.7
19.0#12#Vanessa Voigt#Germany#1:14#32:31.5#3 (1+1+0+1)#+2:19.7
20.0#17#Anne de Besche#Denmark#1:27#32:31.9#2 (0+2+0+0)#+2:20.1
21.0#9#Anna Andexer#Austria#1:09#32:36.6#3 (1+1+0+1)#+2:24.8
22.0#37#Susan Külm#Estonia#2:03#32:49.7#2 (1+0+1+0)#+2:37.9
23.0#27#Elvira Öberg#Sweden#1:38#32:49.9#5 (1+2+0+2)#+2:38.1
24.0#13#Lea Meier#Switzerland#1:17#32:53.4#5 (1+2+0+2)#+2:41.6
25.0#40#Paulína Bátovská Fialková#Slovakia#2:10#32:54.1#3 (0+1+1+1)#+2:42.3
26.0#43#Hannah Auchentaller#Italy#2:12#32:56.2#2 (0+0+1+1)#+2:44.4
27.0#29#Amy Baserga#Switzerland#1:46#33:08.5#3 (0+0+1+2)#+2:56.7
28.0#25#Polona Klemenčič#Slovenia#1:37#33:08.7#5 (1+1+1+2)#+2:56.9
29.0#30#Lisa Theresa Hauser#Austria#1:50#33:08.9#4 (0+0+1+3)#+2:57.1
30.0#32#Anna Gandler#Austria#1:54#33:10.5#3 (1+0+1+1)#+2:58.7
31.0#31#Chu Yuanmeng#China#1:52#33:21.4#1 (0+1+0+0)#+3:09.6
32.0#21#Lena Repinc#Slovenia#1:33#33:23.6#4 (2+1+0+1)#+3:11.8
33.0#33#Marthe Kråkstad Johansen#Norway#1:55#33:26.6#3 (1+0+1+1)#+3:14.8
34.0#20#Julia Tannheimer#Germany#1:32#33:35.4#5 (0+2+2+1)#+3:23.6
35.0#47#Deedra Irwin#United States#2:19#33:51.5#4 (1+1+2+0)#+3:39.7
36.0#23#Michela Carrara#Italy#1:34#33:57.1#7 (1+2+3+1)#+3:45.3
