february:_10–1_(home:_9–1;_away:_1–0;_neutral:_0–0)_date#february:_10–1_(home:_9–1;_away:_1–0;_neutral:_0–0)_tv#february:_10–1_(home:_9–1;_away:_1–0;_neutral:_0–0)_opponent#february:_10–1_(home:_9–1;_away:_1–0;_neutral:_0–0)_stadium#february:_10–1_(home:_9–1;_away:_1–0;_neutral:_0–0)_score#february:_10–1_(home:_9–1;_away:_1–0;_neutral:_0–0)_win#february:_10–1_(home:_9–1;_away:_1–0;_neutral:_0–0)_loss#february:_10–1_(home:_9–1;_away:_1–0;_neutral:_0–0)_save#february:_10–1_(home:_9–1;_away:_1–0;_neutral:_0–0)_attendance#february:_10–1_(home:_9–1;_away:_1–0;_neutral:_0–0)_overall
February 13#ACCNX#Bowling Green*#Russ Chandler Stadium Atlanta, GA#W 11–5#McKee (1–0)#Turner (0–1)#<NA>#2613.0#1–0
February 14[a]#ACCNX#Bowling Green*#Russ Chandler Stadium#W 27–4#Patel (1–0)#Sova (0–1)#<NA>#2419.0#2–0
February 14[a]#ACCNX#Bowling Green*#Russ Chandler Stadium#W 12–27#Campbell (1–0)#Heffernan (0–1)#<NA>#2523.0#3–0
February 17#ESPN+#at Georgia Southern*#J. I. Clements Stadium Statesboro, GA#W 25–1#Blakely (1–0)#Holder (0–2)#<NA>#3387.0#4–0
February 20[a]#ACCNX#Stony Brook*#Russ Chandler Stadium#W 14–5#Campbell (2–0)#Panariello (0–1)#<NA>#<NA>#5–0
February 20[a]#ACCNX#Stony Brook*#Russ Chandler Stadium#W 10–57#<NA>#<NA>#<NA>#2319.0#6–0
February 21#ACCNX#Stony Brook*#Russ Chandler Stadium#W 6–510#Ballard (1–0)#Rizzo (0–1)#<NA>#2212.0#7–0
February 22#ACCNX#Stony Brook*#Russ Chandler Stadium#W 21–37#Underwood (1–0)#Rizzo (0–2)#<NA>#2011.0#8–0
February 24#ACCNX#Georgia State*#Russ Chandler Stadium#L 4–9#Cooper (1–0)#Campbell (2–1)#Bartkoski (2)#2119.0#8–1
February 27#ACCNX#Northwestern*#Russ Chandler Stadium#W 17–37#McKee (2–0)#Hliboki (1–2)#<NA>#2213.0#9–1
February 28#ACCNX#Northwestern*#Russ Chandler Stadium#W 13–37#Loy (1–0)#Weaver (0–1)#Lankie (1)#3720.0#10–1
