rank#bib#name#country#time#penalties_(p+s)#deficit
<NA>#64#Maren Kirkeeide#Norway#20:40.8#0 (0+0)#<NA>
<NA>#56#Océane Michelon#France#20:44.6#0 (0+0)#+3.8
<NA>#42#Lou Jeanmonnot#France#21:04.5#1 (0+1)#+23.7
4.0#55#Milena Todorova#Bulgaria#21:20.8#1 (1+0)#+40.0
5.0#54#Lisa Vittozzi#Italy#21:21.4#0 (0+0)#+40.6
6.0#62#Suvi Minkkinen#Finland#21:30.4#0 (0+0)#+49.6
7.0#40#Franziska Preuß#Germany#21:40.9#1 (0+1)#+1:00.1
8.0#19#Kamila Żuk#Poland#21:50.1#1 (1+0)#+1:09.3
9.0#79#Anna Andexer#Austria#21:50.2#0 (0+0)#+1:09.4
10.0#57#Ingrid Landmark Tandrevold#Norway#21:52.6#2 (0+2)#+1:11.8
11.0#25#Lora Hristova#Bulgaria#21:54.1#1 (1+0)#+1:13.3
12.0#32#Vanessa Voigt#Germany#21:54.8#0 (0+0)#+1:14.0
13.0#23#Lea Meier#Switzerland#21:57.3#0 (0+0)#+1:16.5
14.0#38#Karoline Offigstad Knotten#Norway#22:00.0#0 (0+0)#+1:19.2
15.0#33#Baiba Bendika#Latvia#22:03.5#2 (0+2)#+1:22.7
16.0#27#Estere Volfa#Latvia#22:07.6#1 (0+1)#+1:26.8
16.0#71#Anne de Besche#Denmark#22:07.6#1 (0+1)#+1:26.8
18.0#52#Hanna Öberg#Sweden#22:07.8#2 (0+2)#+1:27.0
19.0#20#Tereza Voborníková#Czech Republic#22:09.8#1 (1+0)#+1:29.0
20.0#34#Julia Tannheimer#Germany#22:13.1#2 (2+0)#+1:32.3
21.0#70#Lena Repinc#Slovenia#22:13.6#0 (0+0)#+1:32.8
22.0#53#Linn Gestblom#Sweden#22:13.7#2 (0+2)#+1:32.9
23.0#61#Michela Carrara#Italy#22:14.3#2 (0+2)#+1:33.5
24.0#72#Yuliia Dzhima#Ukraine#22:15.4#0 (0+0)#+1:34.6
25.0#26#Polona Klemenčič#Slovenia#22:17.5#2 (0+2)#+1:36.7
26.0#18#Maya Cloetens#Belgium#22:17.8#0 (0+0)#+1:37.0
27.0#58#Elvira Öberg#Sweden#22:18.7#2 (0+2)#+1:37.9
28.0#77#Joanna Jakieła#Poland#22:21.0#2 (0+2)#+1:40.2
29.0#44#Amy Baserga#Switzerland#22:27.0#1 (0+1)#+1:46.2
30.0#66#Lisa Theresa Hauser#Austria#22:31.2#2 (1+1)#+1:50.4
31.0#35#Chu Yuanmeng#China#22:32.7#0 (0+0)#+1:51.9
32.0#43#Anna Gandler#Austria#22:35.2#1 (0+1)#+1:54.4
33.0#28#Marthe Kråkstad Johansen#Norway#22:35.3#2 (0+2)#+1:54.5
34.0#48#Julia Simon#France#22:36.6#2 (0+2)#+1:55.8
35.0#50#Anna Magnusson#Sweden#22:37.9#3 (2+1)#+1:57.1
36.0#29#Anastasiya Kuzmina#Slovakia#22:40.6#1 (0+1)#+1:59.8
37.0#65#Susan Külm#Estonia#22:43.9#1 (1+0)#+2:03.1
38.0#68#Sanita Buliņa#Latvia#22:48.2#0 (0+0)#+2:07.4
39.0#37#Lotte Lie#Belgium#22:48.8#1 (0+1)#+2:08.0
40.0#16#Paulína Bátovská Fialková#Slovakia#22:50.6#3 (1+2)#+2:09.8
41.0#63#Natalia Sidorowicz#Poland#22:50.8#2 (0+2)#+2:10.0
42.0#1#Oleksandra Merkushyna#Ukraine#22:51.8#1 (0+1)#+2:11.0
