rank#bib#name#country#time#penalties_(p+s)#deficit
<NA>#40#Quentin Fillon Maillet#France#22:53.1#0 (0+0)#<NA>
<NA>#60#Vetle Sjåstad Christiansen#Norway#23:06.8#0 (0+0)#+13.7
<NA>#56#Sturla Holm Lægreid#Norway#23:09.0#0 (0+0)#+15.9
4.0#42#Émilien Jacquelin#France#23:09.2#0 (0+0)#+16.1
5.0#44#Sebastian Samuelsson#Sweden#23:18.1#0 (0+0)#+25.0
6.0#64#Johannes Dale-Skjevdal#Norway#23:36.1#2 (0+2)#+43.0
7.0#50#Martin Ponsiluoma#Sweden#23:39.8#2 (1+1)#+46.7
8.0#58#Johan-Olav Botn#Norway#23:51.3#1 (1+0)#+58.2
9.0#48#Éric Perrot#France#23:55.2#2 (1+1)#+1:02.1
10.0#36#Philipp Horn#Germany#24:02.3#1 (0+1)#+1:09.2
11.0#15#Olli Hiidensalo#Finland#24:02.4#0 (0+0)#+1:09.3
12.0#54#Campbell Wright#United States#24:03.1#1 (1+0)#+1:10.0
13.0#46#Lukas Hofer#Italy#24:15.2#1 (0+1)#+1:22.1
14.0#22#Joscha Burkhalter#Switzerland#24:15.4#0 (0+0)#+1:22.3
15.0#27#Sebastian Stalder#Switzerland#24:26.8#0 (0+0)#+1:33.7
16.0#53#Nicola Romanin#Italy#24:27.5#0 (0+0)#+1:34.4
17.0#41#Niklas Hartweg#Switzerland#24:32.0#2 (0+2)#+1:38.9
18.0#34#Tero Seppälä#Finland#24:34.1#2 (1+1)#+1:41.0
19.0#20#David Zobel#Germany#24:34.9#0 (0+0)#+1:41.8
20.0#38#Vítězslav Hornig#Czech Republic#24:35.2#1 (1+0)#+1:42.1
21.0#74#Tuomas Harjula#Finland#24:36.4#1 (0+1)#+1:43.3
22.0#62#Tommaso Giacomel#Italy#24:36.5#3 (2+1)#+1:43.4
23.0#30#Justus Strelow#Germany#24:39.5#1 (0+1)#+1:46.4
24.0#16#Vitalii Mandzyn#Ukraine#24:40.5#1 (0+1)#+1:47.4
25.0#33#Jakov Fak#Slovenia#24:45.2#1 (0+1)#+1:52.1
26.0#52#Philipp Nawrath#Germany#24:46.0#3 (2+1)#+1:52.9
27.0#21#Dmytro Pidruchnyi#Ukraine#24:47.9#2 (1+1)#+1:54.8
28.0#26#Michal Krčmář#Czech Republic#24:49.9#2 (0+2)#+1:56.8
29.0#47#Jan Guńka#Poland#24:50.5#1 (1+0)#+1:57.4
30.0#51#Andrejs Rastorgujevs#Latvia#24:56.9#1 (0+1)#+2:03.8
31.0#77#Adam Runnalls#Canada#25:02.5#1 (0+1)#+2:09.4
32.0#85#Rihards Lozbers#Latvia#25:05.2#2 (1+1)#+2:12.1
33.0#4#Tomáš Mikyska#Czech Republic#25:05.3#1 (1+0)#+2:12.2
34.0#37#Lovro Planko#Slovenia#25:06.0#3 (2+1)#+2:12.9
35.0#17#Anton Vidmar#Slovenia#25:10.0#2 (0+2)#+2:16.9
36.0#79#Miha Dovžan#Slovenia#25:10.4#1 (0+1)#+2:17.3
37.0#35#Grzegorz Galica#Poland#25:10.8#2 (0+2)#+2:17.7
38.0#49#Florent Claude#Belgium#25:13.9#2 (1+1)#+2:20.8
39.0#84#Fabian Müllauer#Austria#25:16.7#2 (0+2)#+2:23.6
40.0#65#Otto Invenius#Finland#25:20.1#4 (1+3)#+2:27.0
41.0#32#Fabien Claude#France#25:23.2#5 (2+3)#+2:30.1
42.0#10#Blagoy Todev#Bulgaria#25:23.6#1 (1+0)#+2:30.5
