march_(1–0)_date#march_(1–0)_opponent#march_(1–0)_stadium_site#march_(1–0)_win#march_(1–0)_loss#march_(1–0)_save#march_(1–0)_attendance
March 1#at No. 17 Miami (FL) Rivalry#Alex Rodriguez Park#Canceled (rain)#Canceled (rain)#Canceled (rain)#Canceled (rain)
March 3#Florida Atlantic#Condron Ballpark#C. Walls (2–0)#K. Adetuyi (1–1)#<NA>#5918
March 4#Florida A&M#Condron Ballpark#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+
March 6#High Point#Condron Ballpark#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+
March 7#High Point#Condron Ballpark#Time: 4:00 p.m. TV: SECN+#Time: 4:00 p.m. TV: SECN+#Time: 4:00 p.m. TV: SECN+#Time: 4:00 p.m. TV: SECN+
March 8#High Point#Condron Ballpark#Time: 1:00 p.m. TV: SECN+#Time: 1:00 p.m. TV: SECN+#Time: 1:00 p.m. TV: SECN+#Time: 1:00 p.m. TV: SECN+
March 10#Florida State Rivalry#Condron Ballpark#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+
March 13#South Carolina#Condron Ballpark#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+
March 14#South Carolina#Condron Ballpark#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+
March 15#South Carolina#Condron Ballpark#Time: 1:00 p.m. TV: SECN+#Time: 1:00 p.m. TV: SECN+#Time: 1:00 p.m. TV: SECN+#Time: 1:00 p.m. TV: SECN+
March 17#Stetson#Condron Ballpark#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+
March 20#at Alabama#Sewell–Thomas Stadium Tuscaloosa, AL#Time: 7:00 p.m. TV: SECN+#Time: 7:00 p.m. TV: SECN+#Time: 7:00 p.m. TV: SECN+#Time: 7:00 p.m. TV: SECN+
March 21#at Alabama#Sewell–Thomas Stadium#Time: 3:00 p.m. TV: SECN+#Time: 3:00 p.m. TV: SECN+#Time: 3:00 p.m. TV: SECN+#Time: 3:00 p.m. TV: SECN+
March 22#at Alabama#Sewell–Thomas Stadium#Time: 1:00 p.m. TV: SECN#Time: 1:00 p.m. TV: SECN#Time: 1:00 p.m. TV: SECN#Time: 1:00 p.m. TV: SECN
March 24#vs. Florida State Rivalry#VyStar Ballpark Jacksonville, FL#Time: 6:00 p.m. TV: SECN+#Time: 6:00 p.m. TV: SECN+#Time: 6:00 p.m. TV: SECN+#Time: 6:00 p.m. TV: SECN+
March 27#at Arkansas#Baum–Walker Stadium Fayetteville, AR#Time: 7:00 p.m. TV: SECN+#Time: 7:00 p.m. TV: SECN+#Time: 7:00 p.m. TV: SECN+#Time: 7:00 p.m. TV: SECN+
March 28#at Arkansas#Baum–Walker Stadium#Time: 2:00 p.m. TV: SECN+#Time: 2:00 p.m. TV: SECN+#Time: 2:00 p.m. TV: SECN+#Time: 2:00 p.m. TV: SECN+
March 29#at Arkansas#Baum–Walker Stadium#Time: 1:00 p.m. TV: SECN#Time: 1:00 p.m. TV: SECN#Time: 1:00 p.m. TV: SECN#Time: 1:00 p.m. TV: SECN
March 31#Jacksonville#Condron Ballpark#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+#Time: 6:30 p.m. TV: SECN+
