date#opponent#venue
April 2#at Texas A&M#Olsen Field at Blue Bell Park • College Station, Texas
April 3#at Texas A&M#Olsen Field at Blue Bell Park • College Station, Texas
April 4#at Texas A&M#Olsen Field at Blue Bell Park • College Station, Texas
April 7#vs Eastern Kentuckky*#Hawkins Field • Nashville, Tennessee
April 9#vs Oklahoma#Hawkins Field • Nashville, Tennessee
April 10#vs Oklahoma#Hawkins Field • Nashville, Tennessee
April 11#vs Oklahoma#Hawkins Field • Nashville, Tennessee
April 14#at Lipscomb*#Dugan Field • Nashville, Tennessee
April 17#at Kentucky#Kentucky Proud Park • Lexington, Kentucky
April 18#at Kentucky#Kentucky Proud Park • Lexington, Kentucky
April 19#at Kentucky#Kentucky Proud Park • Lexington, Kentucky
APril 21#vs Xavier*#Hawkins Field • Nashville, Tennessee
April 24#vs Texas#Hawkins Field • Nashville, Tennessee
April 25#vs Texas#Hawkins Field • Nashville, Tennessee
April 26#vs Texas#Hawkins Field • Nashville, Tennessee
April 28#vs Middle Tennessee State*#Hawkins Field • Nashville, Tennessee
April 30#at Alabama#Sewell-Thomas Stadium • Tuscaloosa, Alabama
