rank#pair#lane#name#country#time#time_behind
<NA>#13#I#Ning Zhongyan#China#1:41.98#<NA>
<NA>#15#I#Jordan Stolz#United States#1:42.75#0.77
<NA>#13#O#Kjeld Nuis#Netherlands#1:42.82#0.84
4.0#11#O#Joep Wennemars#Netherlands#1:43.05#1.07
5.0#15#O#Peder Kongshaug#Norway#1:43.93#1.43
6.0#11#I#Daniele Di Stefano#Italy#1:43.41#1.95
7.0#9#O#Kim Min-seok#Hungary#1:45.13#3.15
8.0#10#O#Gabriel Odor#Austria#1:45.18#3.2
9.0#14#O#Sander Eitrem#Norway#1:45.36#3.38
10.0#6#O#Vladimir Semirunniy#Poland#1:45.37#3.39
11.0#12#I#Tijmen Snel#Netherlands#1:45.51#3.53
12.0#10#I#Kazuya Yamada#Japan#1:45.53#3.55
13.0#14#I#Finn Sonnekalb#Germany#1:45.64#3.66
14.0#1#I#Chung Jae-won#South Korea#1:45.80#3.82
15.0#5#O#David La Rue#Canada#1:46.02#4.04
16.0#7#I#Metoděj Jílek#Czech Republic#1:46.08#4.1
17.0#4#O#Valentin Thiebault#France#1:46.12#4.14
18.0#12#O#Taiyo Nonomura#Japan#1:46:18#4.2
19.0#7#O#Hendrik Dombek#Germany#1:46.52#4.54
20.0#4#I#Moritz Klein#Germany#1:46.54#4.56
21.0#8#I#Didrik Eng Strand#Norway#1:46.76#4.78
22.0#8#O#Alexander Farthofer#Austria#1:46.77#4.79
23.0#3#O#Daniel Hall#Canada#1:46.91#4.93
24.0#1#O#Mathias Vosté#Belgium#1:47.19#5.21
25.0#5#I#Emery Lehman#United States#1:47.23#5.25
26.0#3#I#Motonaga Arito#Japan#1:47.45#5.47
27.0#2#O#Marten Liiv#Estonia#1:47.76#5.78
28.0#2#I#Livio Wenger#Switzerland#1:47.80#5.82
29.0#6#I#Casey Dawson#United States#1:47.88#5.9
30.0#9#I#Liu Hanbin#China#1:48.99#7.01
