rank#bib#order#name#country#run_1#run_2#run_3#total
1#8#7#Hiroto Ogiwara#Japan#90.5#88.00#DNI#178.5
2#17#20#Ian Matteoli#Italy#93.75#77.75#80.75#174.5
3#5#2#Kira Kimura#Japan#81.75#79.75#91.50#173.25
4#3#10#Su Yiming#China#22.0#87.75#85.00#172.75
5#1#6#Taiga Hasegawa#Japan#85.0#8.00#87.25#172.25
6#20#18#Francis Jobin#Canada#84.75#84.75#86.00#170.75
7#22#30#Lyon Farrell#New Zealand#25.5#88.50#81.50#170.0
8#14#19#Rocco Jamieson#New Zealand#82.0#83.50#84.75#168.25
9#6#8#Oliver Martin#United States#19.75#82.25#85.25#167.5
10#2#4#Ryoma Kimata#Japan#75.75#75.25#89.50#164.75
11#4#3#Dane Menzies#New Zealand#77.75#86.25#DNI#164.0
12#31#25#Valentino Guseli#Australia#73.25#71.50#91.50#163.0
13#16#16#Marcus Kleveland#Norway#81.75#80.25#79.75#162.0
14#10#9#Eli Bouchard#Canada#73.75#79.00#82.25#161.25
15#9#1#Jake Canter#United States#89.0#71.25#DNI#160.25
16#23#27#Mons Røisland#Norway#86.75#18.00#71.25#158.0
17#11#17#Romain Allemand#France#15.5#89.75#67.25#157.0
18#29#26#Clemens Millauer#Austria#78.25#78.00#DNI#156.25
19#26#24#Yang Wenlong#China#12.5#80.25#75.50#155.75
20#7#5#Redmond Gerard#United States#70.75#83.50#72.00#155.5
21#28#21#Txema Mazet-Brown#Great Britain#67.5#84.25#DNI#151.75
22#21#13#Cameron Spalding#Canada#82.75#62.75#DNI#145.5
23#13#12#Øyvind Kirkhus#Norway#15.0#84.25#57.75#142.0
24#27#29#Jonas Hasler#Switzerland#70.75#68.50#DNI#139.25
25#19#14#Sean FitzSimons#United States#60.75#75.25#DNI#136.0
26#12#15#Rene Rinnekangas#Finland#62.75#DNI#47.50#110.25
27#25#28#Enzo Valax#France#12.0#51.50#58.25#109.75
28#30#22#Jakub Hroneš#Czech Republic#40.0#DNI#46.00#86.0
29#15#11#Ge Chunyu#China#59.75#6.00#16.00#75.75
30#24#23#Noah Vicktor#Germany#10.0#DNI#63.50#73.5
