april_(0–0)_date#april_(0–0)_opponent#april_(0–0)_site/stadium
Apr. 2#South Alabama#Springs Brooks Stadium • Conway, SC
Apr. 3#South Alabama#Springs Brooks Stadium • Conway, SC
Apr. 4#South Alabama#Springs Brooks Stadium • Conway, SC
Apr. 10#at Arkansas State#Tomlinson Stadium–Kell Field • Jonesboro, AR
Apr. 11#at Arkansas State#Tomlinson Stadium–Kell Field • Jonesboro, AR
Apr. 12#at Arkansas State#Tomlinson Stadium–Kell Field • Jonesboro, AR
Apr. 14#at Wake Forest*#David F. Couch Ballpark • Winston-Salem, NC
Apr. 17#Georgia State#Springs Brooks Stadium • Conway, SC
Apr. 18#Georgia State#Springs Brooks Stadium • Conway, SC
Apr. 19#Georgia State#Springs Brooks Stadium • Conway, SC
Apr. 21#at UNC Wilmington#Brooks Field • Wilmington, NC
Apr. 24#Texas State#Springs Brooks Stadium • Conway, SC
Apr. 25#Texas State#Springs Brooks Stadium • Conway, SC
Apr. 26#Texas State#Springs Brooks Stadium • Conway, SC
Apr. 28#at North Carolina#Boshamer Stadium • Chapel Hill, NC
