rolle#schauspieler#synchronsprecher
Lee Jae-yoon#Park Jeong-min#Jörn Linnenbröker
Kang Young-joo#Jisoo#Malin Steffen
Aaron Park#Kim Jun-han#Matthias Klimsa
Ra In-ho#Im Sung-jae#Tim Kreuer
Kim Young-man#Kim Sang-heun#Jesse Grimm
Sung Tae-shik#Lee Hak-joo#Johannes Semm
Seo Jin-wook#Kang Young-seok#Jonas Minthe
Tripeater#Tang Jun-sang#Lino Kelian
Kwak Gye-young#Bin Chan-uk#Flemming Stein
Oh Soo-jeong#Hong Seo-hui#Maria Wardzinska
Jeon Hyung-bae#Park Kang-sub#Ivo Möller
Park Sung-wook#Kwon Seung-woo#Frank Jordan
Hwang Kyung-sik#Kim Jeong-jin#Julian-Elias Henneberg
Kyung-soon#Shin Mi-young#Kristina von Weltzien
Choi Chul-woo#Lee Joon-young#Brian Sommer
Jung Tae-hwa#Lee Joo-won#Christos Topulos
Park Eun-chae#Lee Cho-hee#Julia Casper
Paolo#Justin John Harvey#David Berton
