unnamed:_0#km#länge_(m)#steigung
Beaucarnestraat#312#1200.0#<NA>
Katteberg#325#750.0#ø 6 %, max. 11 %
Holleweg#333#1500.0#<NA>
Paddestraat#447#2300.0#<NA>
La Hoppe#907#1880.0#ø 4,8 %, max. 10 %
Kanarienberg#969#1050.0#ø 7,7 %, max. 14 %
Oude Kruisberg#1041#800.0#ø 4,8 %, max. 9 %
Knokteberg#1119#1260.0#ø 7 %, max. 13 %
Hotondberg#1158#1200.0#ø 4 %, max. 8 %
Kortekeer#1229#1000.0#ø 6,4 %, max. 17 %
Taaienberg#1276#700.0#ø 6,3 %, max. 16 %
Berg Ten Stene#1356#1300.0#ø 5,2 %, max. 9 %
Boigneberg#1408#1000.0#ø 5,2 %, max. 12,3 %
Eikenberg#1452#1250.0#ø 6,2 %, max. 10 %
Stationsberg#1506#700.0#ø 3,2 %, max. 10 %
Mariaborrestraat#1514#1300.0#<NA>
Kapelberg#1615#750.0#ø 7,1 %, max. 14 %
Paterberg#1656#400.0#ø 12,9 %, max. 20,3 %
Oude Kwaremont#1684#2200.0#ø 4 %, max. 11,6 %
Karnemelkbeekstraat#1762#1530.0#ø 4,9 %, max. 18 %
Varent#1838#2000.0#<NA>
Tiegemberg#1888#750.0#ø 5,6 %, max. 9 %
Ziel#2088#<NA>#<NA>
