rolle#schauspieler#synchronsprecher
Noh Ki-jun#Lee Dong-wook#Jesse Grimm
Kang Han-deul#Lee Joo-bin#Franciska Friede
An Jeon-man#Lee Kwang-soo#Johannes Semm
Jeon Na-rae#Lee Da-hee#Stephanie Damare
Na Dae-bok#Kim Won-hae#Robin Brosch
Joh Ah-young#Chu So-jung#Daniela Molina
Baek Su-in#Jang Tae-hoon#Sebastian Kluckert
Cheon Ji-eun#Cho Bo-ah#Katharina von Keller
Gu Mi-rae#Han Sun-hwa#Flavia Vinzens
Han Yeo-reum#Jung Ga-hee#Magdalena Höfner
Jeong Jeong-chi#Kim Kwang-sik#Marko Bräutigam
Kim Seon-man#Bae Yoo-ram#Ozan Ünal
Lee Jeong-sin#Shin Eun-jung#Katharina Spiering
Lee So-jeong#Kim Nam-jin#Susanne Schwab
Nam Chang-hee#Nam Chang-hee#Tim Sander
Noh Jin-ju#Go Kyung-hee#Franziska Trunte
Park Woong-sik#Yoo Hyeon-soo#Philipp Lind
Park Young-kyu#Park Young-gyu#Frank Röth
Seo Un-hyeong#Kwon Hae-sung#Vlad Chiriac
Shin Hyeon-jae#Kwak Si-yang#Florian Clyde
Woo Seon-hee#Cha Mi-kyung#Sabine Walkenbach
Yeo Ga-eul#Lee No-ah#Muriel Bielenberg
Dae-sin#Min Kyung-jin#Freimut Götsch
Ladenbesitzerin#Shin Hye-jung#Frauke Poolman
Mutter der Braut#Ryu Si-hyun#Anna Dramski
Mutter des Bräutigams#Baek Hyun-joo#Ilka Teichmüller
Mutter von Kang Han-deul#Yook Mi-ra#Christin Marquitan
Vater von Kang Han-deul#Seo Myung-chan#Harald Effenberg
