spiel#spieler_1#ergebnis#spieler_2
1#(33) Jovan Kutlešić#30:30#William Hurley (32)
2#(41) David Nistor#30:30#Siôn Stuart (24)
3#(25) Lukas Stötzer#30:30#Artem Tseluiko (40)
4#(37) Holger Åkerblom#30:30#Tadija Matijašević (28)
5#(21) Edward Jones#03:03#Lorcain O’Curraoin (44)
6#(29) Erikas Kozlovas#13:13#Paul Arthur Jeroch (36)
7#(35) Wojciech Sowiński#03:03#Dimitrije Vuković (30)
8#(43) Mareks Cipsts#31:31#Oliwier Niziałek (22)
9#(27) Lennart Tomei#32:32#Adyan Iqbal (38)
10#(39) Axel Wysoczański#23:23#Jakub Zakrzewski (26)
11#(23) Mikayel Nersisyan#31:31#Jake Castaldi (42)
12#(31) Filip Vidak#32:32#Matéo Ochoiski (34)
