spiel#spieler_1#ergebnis#spieler_2
1#(65) Conor Kelly#30:30#Juha Erkinmikko (64)
2#(81) Alex Borg#31:31#Alain Vergère (48)
3#(49) Anton Kazakov#13:13#Patrik Tiihonen (80)
4#(73) Sam Thomas#03:03#Brian Cini (56)
5#(57) Gregory Kopec#30:30#Declan Lavery (72)
6#(69) Ross Vallance#03:03#Jean-Marc Beauchamp (60)
7#(85) Shea Valentine#32:32#Nikita Bazilevičs (44)
8#(53) Mark Oaten#13:13#Mustafa Yıldız (76)
9#(77) Robin Otto#31:31#Kevin Hanssens (52)
10#(45) İsmail Türker#13:13#Faris Vučkić (84)
11#(61) Melih Egemen#31:31#Noel Gleeson (68)
