platz#land#sportler#unnamed:_3#unnamed:_4#unnamed:_5#unnamed:_6
1#NOR#Johannes Høsflot Klæbo#6#<NA>#<NA>#6
2#NOR#Jarl Magnus Riiber#3#<NA>#1#4
3#SLO#Domen Prevc#2#1#<NA>#3
3#NOR#Erik Valnes#2#1#<NA>#3
5#GER#Vinzenz Geiger#1#1#2#4
6#NOR#Marius Lindvik#1#1#1#3
6#NOR#Jens Lurås Oftebro#1#1#1#3
8#SLO#Anže Lanišek#1#1#<NA>#2
8#NOR#Martin Løwstrøm Nyenget#1#1#<NA>#2
8#GER#Julian Schmid#1#1#<NA>#2
11#NOR#Harald Østberg Amundsen#1#<NA>#2#3
12#NOR#Johann André Forfang#1#<NA>#1#2
13#SWE#Emil Jönsson Haag (Guide)#1#<NA>#<NA>#1
13#AUT#Jakob Kainz (Guide)#1#<NA>#<NA>#1
13#SLO#Lovro Kos#1#<NA>#<NA>#1
13#SWE#Zebastian Modin#1#<NA>#<NA>#1
13#GER#Johannes Rydzek#1#<NA>#<NA>#1
13#FRA#Karl Tabouret#1#<NA>#<NA>#1
13#GER#Wendelin Thannheimer#1#<NA>#<NA>#1
13#BRA#Cristian Westemaier Ribera#1#<NA>#<NA>#1
13#SLO#Timi Zajc#1#<NA>#<NA>#1
22#AUT#Jan Hörl#<NA>#2#2#4
23#NOR#Jørgen Graabak#<NA>#1#1#2
23#AUT#Stefan Kraft#<NA>#1#1#2
23#AUT#Johannes Lamparter#<NA>#1#1#2
23#SWE#William Poromaa#<NA>#1#1#2
23#FIN#Lauri Vuorinen#<NA>#1#1#2
28#USA#Jake Adicoff#<NA>#1#<NA>#1
28#UKR#Pavlo Bal#<NA>#1#<NA>#1
28#SUI#Jonas Baumann#<NA>#1#<NA>#1
28#SUI#Cyril Fähndrich#<NA>#1#<NA>#1
28#AUT#Martin Fritz#<NA>#1#<NA>#1
28#SUI#Valerio Grond#<NA>#1#<NA>#1
28#FIN#Ristomatti Hakola#<NA>#1#<NA>#1
28#JPN#Taiki Kawayoke#<NA>#1#<NA>#1
28#AUT#Fabio Obermeyr#<NA>#1#<NA>#1
28#AUT#Maximilian Ortner#<NA>#1#<NA>#1
28#ITA#Federico Pellegrino#<NA>#1#<NA>#1
28#AUT#Franz-Josef Rehrl#<NA>#1#<NA>#1
28#SUI#Jason Rüesch#<NA>#1#<NA>#1
28#CZE#David Šrůtek (Guide)#<NA>#1#<NA>#1
28#AUR#Daniel Tschofenig#<NA>#1#<NA>#1
28#GER#Andreas Wellinger#<NA>#1#<NA>#1
28#USA#Peter Wolter (Guide)#<NA>#1#<NA>#1
45#SWE#Edvin Anger#<NA>#<NA>#2#2
46#SWE#Jens Burman#<NA>#<NA>#1#1
46#FRA#Benjamin Daviet#<NA>#<NA>#1#1
46#SWE#Truls Gisselman#<NA>#<NA>#1#1
46#FIN#Inkki Inola#<NA>#<NA>#1#1
46#FIN#Arttu Kaario (Guide)#<NA>#<NA>#1#1
