platz#spieler#gesamtpunkte
1#Judd Trump#949.2
2#Kyren Wilson#517.8
3#Xiao Guodong#281.5
4#Mark Selby#260.0
5#Mark Williams#255.6
6#Neil Robertson#227.05
7#Barry Hawkins#224.55
8#Ding Junhui#211.0
9#Si Jiahui#209.2
10#Shaun Murphy#200.9
11#Chris Wakelin#184.4
12#Wu Yize#181.6
13#Mark Allen#148.4
14#Lei Peifan#141.0
15#John Higgins#138.75
16#Jack Lisowski#121.6
17#Zhang Anda#117.55
18#Ali Carter#110.8
19#Elliot Slessor#107.25
20#Jimmy Robertson#102.6
21#Pang Junxu#102.4
22#David Gilbert#97.15
23#Stephen Maguire#95.7
24#Ronnie O’Sullivan#94.5
25#Xu Si#92.05
26#Tom Ford#91.95
27#Yuan Sijun#91.6
28#Stuart Bingham#89.4
29#Jackson Page#89.3
30#Jak Jones#75.3
31#Matthew Selt#73.25
32#Gary Wilson#72.4
33#Hossein Vafaei a#69.8
34#Ben Woollaston b#67.9
