etappe#etappensieger#gesamtwertung_maglia_rosa#punktewertung_maglia_ciclamino#bergwertung_maglia_azzurra#nachwuchswertung_maglia_bianca#teamwertung
1#Mads Pedersen#Mads Pedersen#Mads Pedersen (1) (2) (3)#Sylvain Moniquet#Francesco Busatto#Lidl-Trek
2#Joshua Tarling#Primož Roglič#Mads Pedersen (1) (2) (3)#Sylvain Moniquet#Mathias Vacek#Lidl-Trek
3#Mads Pedersen#Mads Pedersen#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Mathias Vacek#Lidl-Trek
4#Casper van Uden#Mads Pedersen#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Mathias Vacek#Lidl-Trek
5#Mads Pedersen#Mads Pedersen#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Mathias Vacek#Lidl-Trek
6#Kaden Groves#Mads Pedersen#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Mathias Vacek#Lidl-Trek
7#Juan Ayuso#Primož Roglič#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Juan Ayuso#UAE Team Emirates-XRG
8#Lucas Plapp#Diego Ulissi#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Juan Ayuso#UAE Team Emirates-XRG
9#Wout van Aert#Isaac Del Toro#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
10#Daan Hoole#Isaac Del Toro#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
11#Richard Carapaz#Isaac Del Toro#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
12#Olav Kooij#Isaac Del Toro#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
13#Mads Pedersen#Isaac Del Toro#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
14#Kasper Asgreen#Isaac Del Toro#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
15#Carlos Verona#Isaac Del Toro#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
16#Christian Scaroni#Isaac Del Toro#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
17#Isaac Del Toro#Isaac Del Toro#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
18#Nico Denz#Isaac Del Toro#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
19#Nicolas Prodhomme#Isaac Del Toro#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
20#Chris Harper#Simon Yates#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
21#Olav Kooij#Simon Yates#Mads Pedersen (1) (2) (3)#Lorenzo Fortunato#Isaac Del Toro (4) (5) (6)#UAE Team Emirates-XRG
Wertungssieger#Wertungssieger#Simon Yates#Mads Pedersen#Lorenzo Fortunato#Isaac Del Toro#UAE Team Emirates-XRG
