#unnamed:_1#kilometer#länge_(km)#schwierigkeit
30.0#Troisvilles à Inchy#958#22#★★★
29.0#Viesly à Quiévy#1023#18#★★★
28.0#Quiévy à Saint-Python#1049#37#★★★★
27.0#Saint-Python#1096#15#★★
26.0#Vertain à Saint-Martin-sur-Écaillon#1167#23#★★★
25.0#Verchain-Maugré à Quérénaing#128#16#★★★
24.0#Quérénaing à Artres#1309#13#★★
23.0#Artres à Famars#1338#12#★★★
22.0#Quérénaing à Maing#1385#25#★★★
21.0#Maing à Monchaux-sur-Écaillon#1416#16#★★★
20.0#Haveluy à Wallers#1545#25#★★★★
19.0#Trouée d’Arenberg#1639#23#★★★★★
18.0#Wallers à Hélesmes#170#16#★★★
17.0#Hornaing à Wandignies-Hamage#1768#37#★★★★
16.0#Warlaing à Brillon#1842#24#★★★
15.0#Tilloy à Sars-et-Rosières#1877#24#★★★★
14.0#Beuvry-la-Forêt à Orchies#1941#14#★★★
13.0#Orchies#1991#17#★★★
12.0#Auchy-lez-Orchies à Bersée#2052#27#★★★★
11.0#Mons-en-Pévèle#2106#3#★★★★★
10.0#Mérignies à Avelin#2167#7#★★
9.0#Pont-Thibaut à Ennevelin#220#14#★★★
8.0#L'Épinette#2254#2#★
8.0#Moulin-de-Vertain#226#5#★★
7.0#Cysoing à Bourghelles#2324#13#★★★
6.0#Bourghelles à Wannehain#2349#11#★★★
5.0#Camphin-en-Pévèle#2394#18#★★★★
4.0#Carrefour de l’Arbre#2421#21#★★★★★
3.0#Gruson#2444#11#★★
2.0#Willems à Hem#2511#14#★★
1.0#Espace Charles Crupelandt#2578#3#★
<NA>#Ziel#2592#553#<NA>
