umfrage_datum_datum#umfrage_institut_institut#umfrage_befragte_befragte#george_simion_george_simion_unnamed:_3_level_2#nicușor_dan_nicușor_dan_unnamed:_4_level_2#andere_andere_unnamed:_5_level_2
13.–15.05.2025#AtlasIntel#5628#47,8 %#48,7 %#3,5 %
10.–13.05.2025#IRSOP#951#48 %#52 %#<NA>
9.–12.05.2025#AtlasIntel#3995#48,2 %#48,2 %#3,6 %
8.–14.05.2025#MKOR#3357#32 %#34,2 %#33,8 %
8.–11.05.2025#CURS#3042#52 %#48 %#<NA>
06.05.2025#Verifield#944#54,8 %#45,2 %#<NA>
Erster Wahlgang am 4. Mai#Erster Wahlgang am 4. Mai#Erster Wahlgang am 4. Mai#Erster Wahlgang am 4. Mai#Erster Wahlgang am 4. Mai#Erster Wahlgang am 4. Mai
28.04.–01.05.25#AtlasIntel#3247#37 %#40 %#23 %
24.–30.04.25#Noi, Cetățenii#1378#45 %#55 %#<NA>
24.–27.04.25#MKOR#1750#28 %#29 %#43 %
24.–26.04.25#FlashData#7500#45,5 %#40,0 %#14,5 %
17.–22.04.25#AtlasIntel#3701#39 %#42 %#19 %
10.–13.04.25#AtlasIntel#2994#37,5 %#40,7 %#21,8 %
09.–13.04.25#ARA#1115#52 %#48 %#<NA>
03.–10.04.25#CURS#1214#54 %#46 %#<NA>
