premierminister_und_vizepremierminister#name.1#partei.1#amtszeit
Premierminister#Bart De Wever#N-VA#seit 3. Februar 2025
Vizepremierminister Finanzen und Pensionen, beauftragt mit der Nationallotterie und den föderalen kulturellen Institutionen#Jan Jambon#N-VA#seit 3. Februar 2025
Vizepremierminister Beschäftigung, Wirtschaft und Landwirtschaft#David Clarinval#MR#seit 3. Februar 2025
Vizepremierminister Auswärtige Angelegenheiten, Europäische Angelegenheiten und Entwicklungszusammenarbeit#Maxime Prévot#LE#seit 3. Februar 2025
Vizepremierminister Soziale Angelegenheiten und Volksgesundheit, beauftragt mit der Armutsbekämpfung#Frank Vandenbroucke#Vooruit#seit 3. Februar 2025
Vizepremierminister Haushalt, beauftragt mit der Vereinfachung der Administration#Vincent Van Peteghem#CD&V#seit 3. Februar 2025
Minister#Name#Partei#Amtszeit
Landesverteidigung, beauftragt mit dem Außenhandel#Theo Francken#N-VA#seit 3. Februar 2025
Asyl und Migration und soziale Eingliederung, beauftragt mit der Politik der Großstädte#Anneleen Van Bossuyt#N-VA#seit 3. Februar 2025
Sicherheit und Inneres, Aufsicht über Beliris#Bernard Quintin#MR#seit 3. Februar 2025
Mittelstand, Selbständige und kleine und mittlere Unternehmen (KMU)#Eléonore Simonet#MR#seit 3. Februar 2025
Energie#Mathieu Bihet#MR#seit 3. Februar 2025
Mobilität, Klima und Ökologischer Wandel#Jean-Luc Crucke#LE#seit 3. Februar 2025
None#Vanessa Matz#LE#seit 3. Februar 2025
Verbraucherschutz, Bekämpfung des Sozialbetrugs, Personen mit Behinderung und Chancengleichheit#Rob Beenders#Vooruit#seit 3. Februar 2025
Justiz, zuständig für den belgischen Anteil an der Nordsee#Annelies Verlinden#CD&V#seit 3. Februar 2025
