kansas_city#position#philadelphia
Offense#Offense#Offense
Xavier Worthy#WR#Jahan Dotson
JuJu Smith-Schuster#WR#DeVonta Smith
DeAndre Hopkins#WR#A. J. Brown
Travis Kelce#TE#Dallas Goedert
Joe Thuney#LT#Jordan Mailata
Mike Caliendo#LG#Landon Dickerson
Creed Humphrey#C#Cam Jurgens
Trey Smith#RG#Mekhi Becton
Jawaan Taylor#RT#Lane Johnson
Patrick Mahomes#QB#Jalen Hurts
Isiah Pacheco#RB#Saquon Barkley
Defense#Defense#Defense
Chris Jones#DT#Jordan Davis
Tershawn Wharton#DT#Jalen Carter
Mike Danna#DE/LB#Josh Sweat
Leo Chenal#LB#Nolan Smith
Nick Bolton#LB#Zack Baun
Drue Tranquill#LB#Oren Burks
Chamarri Conner#DB#Cooper DeJean
Trent McDuffie#CB#Darius Slay
Jaylen Watson#CB#Quinyon Mitchell
Justin Reid#S#Reed Blankenship
Bryan Cook#S#C. J. Gardner-Johnson
