0#1#2#3#4#5#6
Disziplin#Männer#Männer#Männer#Frauen#Frauen#Frauen
Disziplin#Name#Verein#Zeit#Name#Verein#Zeit
050 m Freistil#Josha Salchow#SV Nikar Heidelberg#2203#Nina Holt#SC Magdeburg#2490
050 m Freistil#Josha Salchow#SV Nikar Heidelberg#2203#Angelina Köhler#SG Neukölln#2490
100 m Freistil#Josha Salchow#SV Nikar Heidelberg#4802#Nina Holt#SC Magdeburg#5390
200 m Freistil#Lukas Märtens#SC Magdeburg#1:44,25#Nina Holt#SC Magdeburg#1:58,33
400 m Freistil#Lukas Märtens#SC Magdeburg#3:40,61#Isabel Gose#SC Magdeburg#4:03,65
800 m Freistil#Sven Schwarz#W98 Hannover#7:38,12 (ER)#Isabel Gose#SC Magdeburg#8:20,42
1500 m Freistil0#Florian Wellbrock#SC Magdeburg#14:36,25#Isabel Gose#SC Magdeburg#15:52,34
050 m Brust#Melvin Imoudu#Potsdamer SV#2714#Anna Elendt#SG Frankfurt#3048
100 m Brust#Lucas Matzerath#SG Frankfurt#5919#Anna Elendt#SG Frankfurt#1:05,72
200 m Brust#Lucas Matzerath#SG Frankfurt#2:11,43#Anna Elendt#SG Frankfurt#2:23,54 (NR)
050 m Rücken#Ole Braunschweig#SG Neukölln#2483#Lise Seidel#SC Chemnitz#2889
100 m Rücken#Cornelius Jahn#Ahrensburger TSV#5430#Lise Seidel#SC Chemnitz#1:00,93
200 m Rücken#Lukas Märtens#SC Magdeburg#1:56,00#Lise Seidel#SC Chemnitz#2:10,81
050 m Schmetterling#Luca Nik Armbruster#SG Neukölln#22,92 (NR)#Angelina Köhler#SG Neukölln#2586
100 m Schmetterling#Luca Nik Armbruster#SG Neukölln#5121#Angelina Köhler#SG Neukölln#5651
200 m Schmetterling#Louis Schubert#SSG Leipzig#1:58,44#Leni von Bonin#Dresdner SC#2:13,15
