spiel#spieler_1#ergebnis#spieler_2
1#(33) Filips Kalniņš#04:04#Llŷr Hughes (32)
2#(41) Oliver Sykes#04:04#Ayaan Iqbal (24)
3#(25) Dimitrije Stefanović#41:41#Siôn Stuart (40)
4#(37) Amaan Iqbal#43:43#Anton Kazakov (28)
5#(21) Christian Richter#34:34#David Nistor (44)
6#(29) Krzysztof Czapnik#34:34#Petro Sydorenko (36)
7#(35) Daniel Boyes#34:34#Heorhii Petrunko (30)
8#(43) Adam Halnon#41:41#Alex Currid (22)
9#(27) Westley Cooper#14:14#Martin Oriňák (38)
10#(39) Fabian Pieyns#42:42#Maksim Kostov (26)
11#(23) Arsenii Korolev#14:14#Kyryl Baidala (42)
12#(31) Ronan McGuirk#43:43#Ryan McGuirk (34)
