nr#name#km_vom_ziel#länge_(km)#sterne
17#Hornaing – Wandignies-Hamage#825#37#★★★★
16#Warlaing à Brillon#750#24#★★★
15#Tilloy – Sars-et-Rosières#716#24#★★★★
14#Beuvry-la-Forêt–Orchies#652#14#★★★
13#Orchies#602#17#★★★
12#Auchy-lez-Orchies – Bersée#541#27#★★★★
11#Mons-en-Pévèle#486#30#★★★★★
10#Mérignies à Avelin#426#7#★★
9#Pont-Thibaut à Ennevelin#392#14#★★★
8#L'Épinette#338#2#★
8#Moulin-de-Vertain#333#5#★★
7#Cysoing à Bourghelles#269#13#★★★
6#Bourghelles à Wannehain#244#11#★★★
5#Camphin-en-Pévèle#199#18#★★★★
4#Carrefour de l’Arbre#172#21#★★★★★
3#Gruson#149#11#★★
2#Willems à Hem#82#14#★★
1#Espace Charles Crupelandt#14#3#★
