partei.1#vorsitzender#kandi-_daten#sitze_2021#bei_auf-_lösung#sitze_2025#+/−#stimmen#anteil#+/−.1
Liberale Partei#Mark Carney#0342#160#152#169#0+9#08.595.488#043,76 %#+11,14 %
Konservative Partei#Pierre Poilievre#0342#119#120#144#+25#08.113.484#041,31 %#0+7,57 %
Bloc Québécois#Yves-François Blanchet#0078#32#33#22#−10#01.236.349#006,29 %#0−1,35 %
Neue Demokratische Partei#Jagmeet Singh#0342#25#24#7#−18#01.234.673#006,29 %#−11,54 %
Grüne Partei#Elizabeth May#0232#2#2#1#0−1#00.238.892#001,22 %#0−1,11 %
Volkspartei#Maxime Bernier#0247#0#0#0#0±0#00.136.977#000,70 %#0−4,24 %
Unabhängige#<NA>#0177#0#3#0#0±0#000.39.498#000,20 %#0−0,02 %
Sonstige Parteien#<NA>#0199#0#0#0#0±0#000.46.302#000,24 %#0−0,66 %
Vakant#<NA>#<NA>#0#4#0#0±0#<NA>#<NA>#<NA>
Gesamt#Gesamt#1959#338#338#343#0+5#19.641.663#100,00 %#<NA>
