#unnamed:_1#kilometer#länge_(m)#ø_steigung#max._steigung
1.0#Maasberg#116#700.0#3,7 %#10,1 %
2.0#Adsteeg#301#700.0#4,3 %#7,5 %
3.0#Bergseweg#456#2700.0#3,3 %#6,8 %
4.0#Korenweg#491#900.0#5,7 %#10,2 %
5.0#Nijswillerweg#546#1300.0#2,7 %#5,2 %
6.0#Rijksweg#641#3100.0#2,8 %#4,9 %
7.0#Wolfsberg#842#1200.0#2,8 %#12,0 %
8.0#Loorberg#879#1500.0#5,3 %#8,6 %
9.0#Schweibergergweg#992#2700.0#4,5 %#7,1 %
10.0#Camerig#1056#4400.0#4,0 %#7,7 %
11.0#Drielandenpunt#1181#3200.0#4,4 %#9,9 %
12.0#Gemmenich#1224#800.0#7,2 %#8,8 %
13.0#Vijlenerbos#1264#2700.0#3,8 %#10,7 %
14.0#Erperheide#1335#2100.0#4,7 %#8,0 %
15.0#Gulperberg#1430#920.0#5,6 %#17,0 %
16.0#Plettenberg#1473#1200.0#3,7 %#8,0 %
17.0#Eyserweg#1495#2100.0#4,4 %#9,0 %
18.0#Schanternelsweg#1534#1000.0#5,6 %#12,0 %
19.0#Vrakelberg#1586#600.0#7,2 %#11,4 %
20.0#Sibbergrubbe#1664#2100.0#3,6 %#6,0 %
21.0#Cauberg#1708#800.0#6,5 %#12,8 %
<NA>#Zieldurchfahrt#1733#<NA>#<NA>#<NA>
22.0#Geulhemmerberg#1754#1200.0#4,6 %#8,0 %
23.0#Keederberg#1828#2000.0#3,1 %#8,0 %
24.0#Bemelerberg#1861#900.0#4,5 %#7,0 %
25.0#Loorberg#2013#1500.0#5,3 %#8,6 %
26.0#Gulperberg#2083#920.0#5,6 %#17,0 %
27.0#Kruisberg#2134#600.0#8,8 %#15,5 %
28.0#Eyserbosweg#2153#900.0#9,3 %#17,0 %
29.0#Fromberg#2190#1600.0#3,6 %#8,0 %
30.0#Keutenberg#2229#1200.0#5,9 %#22,0 %
31.0#Cauberg#2336#800.0#6,5 %#12,8 %
<NA>#Zieldurchfahrt#2361#<NA>#<NA>#<NA>
32.0#Geulhemmerberg#2384#1000.0#5,0 %#8,0 %
33.0#Bemelerberg#2451#900.0#4,5 %#7,0 %
34.0#Cauberg#2534#800.0#6,5 %#12,8 %
<NA>#Ziel#2559#<NA>#<NA>#<NA>
