liga_pl_division_sieger#liga_team_division_sieger#liga_division_division_sieger#liga_s_division_sieger#liga_n_division_sieger#liga_sq_division_sieger#liga_sov_division_sieger#liga_sos_division_sieger
1#Munich Ravens#South#7#1#0875#0487#0487
2#Vienna Vikings#East#7#1#0875#0450#0450
3#Nordic Storm#North#7#0#1000#0362#0362
4#Stuttgart Surge#West#6#2#0750#0300#0354
Wild Cards#Wild Cards#Wild Cards#Wild Cards#Wild Cards#Wild Cards#Wild Cards#Wild Cards
5#Paris Musketeers#West#5#3#0625#0333#0426
6#Raiders Tirol#South#5#3#0625#0290#0489
Im Rennen#Im Rennen#Im Rennen#Im Rennen#Im Rennen#Im Rennen#Im Rennen#Im Rennen
7#Panthers Wrocław#East#5#3#0625#0167#0355
8#Madrid Bravos#South#5#3#0625#0087#0362
9#Rhein Fire#North#4#4#0500#0531#0617
10#Prague Lions#East#4#4#0500#0313#0425
11#Frankfurt Galaxy#West#3#5#0375#0417#0574
12#Berlin Thunder#North#3#5#0375#0000#0426
13#Hamburg Sea Devils#North#2#6#0250#0438#0617
14#Helvetic Mercenaries#South#0#7#0000#0000#0744
Ausgeschieden 2#Ausgeschieden 2#Ausgeschieden 2#Ausgeschieden 2#Ausgeschieden 2#Ausgeschieden 2#Ausgeschieden 2#Ausgeschieden 2
15#Fehérvár Enthroners#East#0#8#0000#0000#0625
16#Cologne Centurions#West#0#8#0000#0000#0563
