gewichtsklasse#gold#silber#bronze
57 kg#Natschyn Mongusch#Asamat Tuskajew#Aryan Tsiutryn
57 kg#Natschyn Mongusch#Asamat Tuskajew#İslam Bazarqanov
61 kg#Saur Ugujew#Arsen Harutjunjan#Selimchan Abakarow
61 kg#Saur Ugujew#Arsen Harutjunjan#Andrij Dschelep
65 kg#Ibragim Ibragimow#Khamzat Arsamerzouev#Wasgen Tewanjan
65 kg#Ibragim Ibragimow#Khamzat Arsamerzouev#Əli Rəhimzadə
70 kg#Dawid Bajew#Arman Andreasjan#Akaki Kemertelidse
70 kg#Dawid Bajew#Arman Andreasjan#Kənan Heybətov
74 kg#Chermen Valiev#Saurbek Sidakow#Ağanəzər Novruzov
74 kg#Chermen Valiev#Saurbek Sidakow#Taimuras Salkasanow
79 kg#Achmed Usmanow#Zelimkhan Khadjiev#Achsarbek Gulajew
79 kg#Achmed Usmanow#Zelimkhan Khadjiev#Wladimer Gamkrelidse
86 kg#Magomed Ramasanow#Mahamedchabib Kadsimahamedau#Osman Göçen
86 kg#Magomed Ramasanow#Mahamedchabib Kadsimahamedau#Artur Naifonow
92 kg#Dauren Kuruglijew#Osman Nurmagomedow#Mirian Maissuradse
92 kg#Dauren Kuruglijew#Osman Nurmagomedow#Feyzullah Aktürk
97 kg#Giwi Matscharaschwili#Magomed Kurbanow#Richárd Végh
97 kg#Giwi Matscharaschwili#Magomed Kurbanow#Batyrbek Zakulow
125 kg#Giorgi Meschwildischwili#Solomon Manaschwili#Dsjanis Chramjankou
125 kg#Giorgi Meschwildischwili#Solomon Manaschwili#Kamil Kościółek
