platz#teilnehmer#elo-zahl#punkte#bc1#buc
1.0#Matthias Blübaum#2643#85#715#765
2.0#Frederik Svane#2654#85#705#755
3.0#Maxim Rodshtein#2623#85#685#740
4.0#Daniil Juffa#2654#80#750#810
5.0#Benjámin Gledura#2658#80#715#775
6.0#Aryan Tari#2621#80#715#770
7.0#Gabriel Sarkissjan#2628#80#715#750
8.0#Nicat Abasov#2612#80#685#745
9.0#Yağız Kaan Erdoğmuş#2605#80#680#725
10.0#Ediz Gürel#2620#80#670#720
11.0#Gergely Kántor#2563#80#670#720
12.0#Read Səmədov#2502#80#640#685
13.0#Baadur Dschobawa#2578#75#750#800
14.0#Jorden van Foreest#2676#75#725#780
15.0#Stamatis Kourkoulos-Arditis#2580#75#720#775
16.0#David Navara#2663#75#710#765
17.0#Robert Howhannisjan#2630#75#710#765
18.0#Schant Sargsjan#2666#75#705#755
19.0#Maxime Lagarde#2615#75#690#745
20.0#Paul Velten#2515#75#690#735
