placering#nr#namn#land#distans_(m)#poäng#poängskillnad#totalt
<NA>#34#Yuna Kasai#Japan#965#1219#–0,9#1210
<NA>#36#Gyda Westvold Hansen#Norge#945#1187#00#1187
<NA>#29#Haruka Kasai#Japan#960#1223#–6,7#1156
4.0#30#Alexa Brabec#USA#930#1160#–4,6#1114
5.0#26#Jenny Nowak#Tyskland#950#1191#–7,9#1112
6.0#33#Nathalie Armbruster#Tyskland#890#1100#–1,1#1089
7.0#23#Lisa Hirner#Österrike#940#1196#–13,9#1057
8.0#35#Marte Leinan Lund#Norge#880#1026#–0,5#1021
9.0#5#Ingrid Låte#Norge#1005#1290#–35,0#940
10.0#32#Ida Marie Hagen#Norge#868#956#–1,8#938
11.0#28#Ema Volavšek#Slovenien#860#951#–7,5#876
12.0#31#Minja Korhonen#Finland#870#917#–4,3#874
13.0#8#Annalena Slamik#Österrike#1005#1164#–30,3#861
14.0#20#Claudia Purker#Österrike#915#1010#–15,6#854
15.0#27#Léna Brocard#Frankrike#835#910#–7,9#831
16.0#21#Tia Malovrh#Slovenien#915#978#–15,4#824
17.0#14#Trine Göpfert#Tyskland#935#1033#–23,2#801
18.0#10#Teja Pavec#Slovenien#945#1044#–26,0#784
19.0#22#Yuzuki Kainuma#Japan#860#901#–14,0#761
19.0#15#Heta Hirvonen#Finland#905#988#–22,7#761
21.0#7#Maria Gerboth#Tyskland#945#1047#–33,6#711
22.0#11#Katharina Gruber#Österrike#875#909#–23,8#671
23.0#25#Maša Likozar Brankovič#Slovenien#770#787#–12,7#660
24.0#12#Veronica Gianmoena#Italien#850#844#–23,6#608
25.0#9#Annika Malacinski#USA#850#850#–26,5#585
26.0#16#Sana Azegami#Japan#820#796#–21,9#577
27.0#24#Daniela Dejori#Italien#755#678#–13,8#540
28.0#13#Marion Droz Vincent#Frankrike#820#770#–23,4#536
29.0#18#Joanna Kil#Polen#780#701#–17,7#524
30.0#19#Greta Pinzani#Italien#770#650#–17,3#477
31.0#17#Kai McKinnon#USA#740#554#–21,6#338
32.0#6#Anna Senoner#Italien#770#659#–34,9#310
33.0#1#Karina Kozlova#Ukraina#895#945#–77,8#167
34.0#4#Tereza Koldovská#Tjeckien#695#413#–37,8#35
35.0#3#Jolana Hradilová#Tjeckien#675#434#–43,5#–0,1
36.0#2#Ella Wilson#USA#685#487#–53,9#–5,2
