0#1#2#3
Spel#Guld#Silver#Brons
Aten 1896 Detaljer...#Eugène-Henri Gravelotte (FRA)#Henri Callot (FRA)#Periklis Pierrakos-Mavromichalis (GRE)
Paris 1900 Detaljer...#Émile Coste (FRA)#Henri Masson (FRA)#Marcel Boulenger (FRA)
St. Louis 1904 Detaljer...#Ramón Fonst (CUB)#Albertson Van Zo Post (CUB)#Charles Tatham (CUB)
London 1908#Ingick inte i det olympiska programmet#Ingick inte i det olympiska programmet#Ingick inte i det olympiska programmet
Stockholm 1912 Detaljer...#Nedo Nadi (ITA)#Pietro Speciale (ITA)#Richard Verderber (AUT)
Antwerpen 1920 Detaljer...#Nedo Nadi (ITA)#Philippe Cattiau (FRA)#Roger Ducret (FRA)
Paris 1924 Detaljer...#Roger Ducret (FRA)#Philippe Cattiau (FRA)#Maurice Van Damme (BEL)
Amsterdam 1928 Detaljer...#Lucien Gaudin (FRA)#Erwin Casmir (GER)#Giulio Gaudini (ITA)
Los Angeles 1932 Detaljer...#Gustavo Marzi (ITA)#Joseph Levis (USA)#Giulio Gaudini (ITA)
Berlin 1936 Detaljer...#Giulio Gaudini (ITA)#Edward Gardère (FRA)#Giorgio Bocchino (ITA)
London 1948 Detaljer...#Jehan Buhan (FRA)#Christian d'Oriola (FRA)#Lajos Maszlay (HUN)
Helsingfors 1952 Detaljer...#Christian d'Oriola (FRA)#Edoardo Mangiarotti (ITA)#Manlio Di Rosa (ITA)
Melbourne 1956 Detaljer...#Christian d'Oriola (FRA)#Giancarlo Bergamini (ITA)#Antonio Spallino (ITA)
Rom 1960 Detaljer...#Viktor Zjdanovitj (URS)#Jurij Sisikin (URS)#Albert Axelrod (USA)
Tokyo 1964 Detaljer...#Egon Franke (POL)#Jean-Claude Magnan (FRA)#Daniel Revenu (FRA)
Mexico City 1968 Detaljer...#Ion Drîmbă (ROU)#Jenő Kamuti (HUN)#Daniel Revenu (FRA)
München 1972 Detaljer...#Witold Woyda (POL)#Jenő Kamuti (HUN)#Christian Noël (FRA)
Montréal 1976 Detaljer...#Fabio Dal Zotto (ITA)#Aleksandr Romankov (URS)#Bernard Talvard (FRA)
Moskva 1980 Detaljer...#Vladimir Smirnov (URS)#Pascal Jolyot (FRA)#Aleksandr Romankov (URS)
Los Angeles 1984 Detaljer...#Mauro Numa (ITA)#Matthias Behr (FRG)#Stefano Cerioni (ITA)
Seoul 1988 Detaljer...#Stefano Cerioni (ITA)#Udo Wagner (GDR)#Aleksandr Romankov (URS)
Barcelona 1992 Detaljer...#Philippe Omnès (FRA)#Sergei Golubitskj (EUN)#Elvis Gregory (CUB)
Atlanta 1996 Detaljer...#Alessandro Puccini (ITA)#Lionel Plumenail (FRA)#Franck Boidin (FRA)
Sydney 2000 Detaljer...#Kim Young-Ho (KOR)#Ralf Bissdorf (GER)#Dmitrij Sjevtjenko (RUS)
Aten 2004 Detaljer...#Brice Guyart (FRA)#Salvatore Sanzo (ITA)#Andrea Cassarà (ITA)
Peking 2008 Detaljer...#Benjamin Kleibrink (GER)#Yūki Ōta (JPN)#Salvatore Sanzo (ITA)
London 2012 Detaljer...#Lei Sheng (CHN)#Alaaeldin Abouelkassem (EGY)#Choi Byung-chul (KOR)
Rio de Janeiro 2016 Detaljer...#Daniele Garozzo (ITA)#Alexander Massialas (USA)#Timur Safin (RUS)
Tokyo 2020 Detaljer...#Cheung Ka Long (HKG)#Daniele Garozzo (ITA)#Alexander Choupenitch (CZE)
