unnamed:_0#idioma#porcentaje
1#inglés#53,6%
2#español#5,3%
3#ruso#4,8%
4#alemán#4,5%
5#francés#4,3%
6#japonés#4,0%
7#portugués#2,8%
8#turco#2,2%
9#italiano#2,1%
10#neerlandés y flamenco#1,6%
11#persa#1,6%
12#polaco#1,5%
13#chino#1,4%
14#vietnamita#1,2%
15#indonesio#0,9%
16#checo#0,8%
17#coreano#0,7%
18#árabe#0,6%
19#ucraniano#0,6%
20#griego#0,5%
21#húngaro#0,5%
22#hebreo#0,5%
23#rumano#0,5%
24#sueco#0,5%
25#tailandés#0,4%
26#danés#0,4%
27#finés#0,3%
28#eslovaco#0,3%
29#búlgaro#0,2%
30#serbio#0,2%
31#croata#0,2%
32#noruego bokmål#0,2%
