episodio_episodio#fecha_de_emisión_fecha_de_emisión#índices_de_audiencia_(nielsen_korea)[53]​_nacional#índices_de_audiencia_(nielsen_korea)[53]​_seúl
1#12 de mayo de 2025#1,591 % (2.ª)#1,622 % (3.ª)
2#13 de mayo de 2025#2,010 % (4.ª)#2,150 % (4.ª)
3#19 de mayo de 2025#2,469 % (2.ª)#2,588 % (2.ª)
4#20 de mayo de 2025#3,102 % (2.ª)#2,907 % (2.ª)
5#26 de mayo de 2025#3,404 % (1.ª)#3,203 % (2.ª)
6#27 de mayo de 2025#3,271 % (1.ª)#3,079 % (2.ª)
7#2 de junio de 2025#2,974 % (2.ª)#2,653 % (2.ª)
8#3 de junio de 2025#2,969 % (1.ª)#2,703 % (1.ª)
9#9 de junio de 2025#2,849 % (2.ª)#2,679 % (2.ª)
10#10 de junio de 2025#3,801 % (1.ª)#3,277 % (1.ª)
Promedio#Promedio#2,844 %#2,686 %
