episodio_episodio#fecha_de_emisión_fecha_de_emisión#índices_de_audiencia_(nielsen_korea)[40]​_nacional#índices_de_audiencia_(nielsen_korea)[40]​_seúl
1#8 de marzo de 2025#3,300 % (2.ª)#3,586 % (1.ª)
2#9 de marzo de 2025#6,068 % (1.ª)#6,349 % (1.ª)
3#15 de marzo de 2025#5,783 % (1.ª)#5,535 % (1.ª)
4#16 de marzo de 2025#7,121 % (1.ª)#7,298 % (1.ª)
5#22 de marzo de 2025#6,459 % (1.ª)#6,398 % (1.ª)
6#23 de marzo de 2025#7,982 % (1.ª)#8,320 % (1.ª)
7#29 de marzo de 2025#6,185 % (1.ª)#6,171 % (1.ª)
8#30 de marzo de 2025#8,079 % (1.ª)#8,758 % (1.ª)
9#5 de abril de 2025#6,933 % (1.ª)#7,064 % (1.ª)
10#6 de abril de 2025#8,805 % (1.ª)#9,545 % (1.ª)
11#12 de abril de 2025#7,182 % (1.ª)#8,030 % (1.ª)
12#13 de abril de 2025#10,315 % (1.ª)#11,298 % (1.ª)
Promedio#Promedio#7,018 %#7,363 %
