episodio_episodio#fecha_de_emisión_fecha_de_emisión#índices_de_audiencia_(nielsen_korea)[37]​_nacional#índices_de_audiencia_(nielsen_korea)[37]​_seúl
1#12 de mayo de 2025#3,351 % (1.ª)#4,345 % (1.ª)
2#13 de mayo de 2025#2,982 % (1.ª)#2,990 % (1.ª)
3#19 de mayo de 2025#3,181 % (1.ª)#3,683 % (1.ª)
4#20 de mayo de 2025#3,682 % (1.ª)#3,818 % (1.ª)
5#26 de mayo de 2025#3,191 % (2.ª)#3,918 % (1.ª)
6#27 de mayo de 2025#2,823 % (2.ª)#3,175 % (1.ª)
7#2 de junio de 2025#3,063 % (1.ª)#3,110 % (1.ª)
8#3 de junio de 2025#2,697 % (2.ª)#2,352 % (2.ª)
9#9 de junio de 2025#3,117 % (1.ª)#2,970 % (1.ª)
10#10 de junio de 2025#3,008 % (2.ª)#3,110 % (2.ª)
11#16 de junio de 2025#3,088 % (1.ª)#3,143 % (1.ª)
12#17 de junio de 2025#3,618 % (1.ª)#3,674 % (1.ª)
Promedio#Promedio#3,150 %#3,357 %
