episodio_episodio#fecha_de_emisión_fecha_de_emisión#índices_de_audiencia_(nielsen_korea)[17]​[18]​_nacional#índices_de_audiencia_(nielsen_korea)[17]​[18]​_seúl
1#1 de marzo de 2025#1,705 % (5.ª)#1,744 % (3.ª)
2#2 de marzo de 2025#1,811 % (3.ª)#1,906 % (2.ª)
3#8 de marzo de 2025#1,4 % (13.ª)#1,551 % (6.ª)
4#9 de marzo de 2025#2,003 % (3.ª)#1,883 % (2.ª)
5#15 de marzo de 2025#1,1 % (16.ª)#1,133 % (5.ª)
6#16 de marzo de 2025#1,632 % (5.ª)#1,639 % (2.ª)
7#22 de marzo de 2025#1,298 % (8.ª)#1,376 % (4.ª)
8#23 de marzo de 2025#2,000 % (2.ª)#1,570 % (4.ª)
9#29 de marzo de 2025#1,1 % (18.ª)#1,447 % (6.ª)
10#30 de marzo de 2025#1,920 % (3.ª)#1,712 % (3.ª)
11#5 de abril de 2025#1,200 % (11.ª)#1,272 % (9.ª)
12#6 de abril de 2025#1,791 % (3.ª)#1,714 % (2.ª)
Promedio#Promedio#1,58 %#1,58 %
