episodio_episodio#fecha_de_emisión_fecha_de_emisión#índices_de_audiencia_(nielsen_korea)[40]​_nacional#índices_de_audiencia_(nielsen_korea)[40]​_seúl
1#21 de febrero de 2025#6,1 % (9.ª)#6,0 % (8.ª)
2#22 de febrero de 2025#8,1 % (2.ª)#7,8 % (2.ª)
3#28 de febrero de 2025#8,8 % (3.ª)#8,9 % (3.ª)
4#1 de marzo de 2025#10,2 % (2.ª)#9,8 % (2.ª)
5#7 de marzo de 2025#9,2 % (3.ª)#9,0 % (3.ª)
6#8 de marzo de 2025#11,2 % (2.ª)#11,0 % (2.ª)
7#14 de marzo de 2025#10,9 % (3.ª)#10,4 % (2.ª)
8#15 de marzo de 2025#12,3 % (2.ª)#12,3 % (2.ª)
9#21 de marzo de 2025#12,2 % (3.ª)#12,2 % (2.ª)
10#22 de marzo de 2025#13,1 % (2.ª)#13,0 % (2.ª)
11#28 de marzo de 2025#11,7 % (2.ª)#11,9 % (1.ª)
12#29 de marzo de 2025#12,7 % (2.ª)#12,5 % (2.ª)
13#4 de abril de 2025#13,4 % (1.ª)#14,0 % (1.ª)
14#5 de abril de 2025#14,6 % (2.ª)#14,5 % (2.ª)
15#11 de abril de 2025#13,4 % (1.ª)#13,6 % (1.ª)
16#12 de abril de 2025#15,4 % (2.ª)#15,7 % (2.ª)
Promedio#Promedio#11,5 %#11,4 %
