partido_partido.1#concejales_nuevos_electos#concejales_total_después_de_la_elección#concejales_+/−#consejos_nuevos_consejos_ganados#consejos_total_consejos_después#consejos_+/−
Partido Laborista#99#6.132#-186#0#107#-1
Partido Conservador#317#4.358#-676#0#33#-16
Demócratas Liberales#370#3.179#+163#3#40#+3
Partido Verde#80#895#+45#0#1#<NA>
Reform UK#677#805#+677#10#10#+10
SNP#—[36]​#418#<NA>#— [36]​#1#<NA>
Plaid Cymru#—[37]​#201#<NA>#— [37]​#3#<NA>
Independientes#94#2.602#-23#0#11#<NA>
Sin control general#<NA>#<NA>#<NA>#10#165#+4
Total#1.637#18.590#<NA>#23#371#<NA>
