fecha_(2025)_norteamérica#ciudad_norteamérica#país_norteamérica#recinto_norteamérica#asistencia_norteamérica#recaudación_(en_usd)_norteamérica
28 de abril#Inglewood[a]​#Estados Unidos#SoFi Stadium#217,143 / 217,143#$55,706,053
1 de mayo#Inglewood[a]​#Estados Unidos#SoFi Stadium#217,143 / 217,143#$55,706,053
4 de mayo#Inglewood[a]​#Estados Unidos#SoFi Stadium#217,143 / 217,143#$55,706,053
7 de mayo#Inglewood[a]​#Estados Unidos#SoFi Stadium#217,143 / 217,143#$55,706,053
9 de mayo#Inglewood[a]​#Estados Unidos#SoFi Stadium#217,143 / 217,143#$55,706,053
15 de mayo#Chicago#Estados Unidos#Soldier Field#143,256 / 143,256#$42,523,825
17 de mayo#Chicago#Estados Unidos#Soldier Field#143,256 / 143,256#$42,523,825
18 de mayo#Chicago#Estados Unidos#Soldier Field#143,256 / 143,256#$42,523,825
22 de mayo#East Rutherford[b]​#Estados Unidos#MetLife Stadium#250,083 / 250,083#$70,284,615
24 de mayo#East Rutherford[b]​#Estados Unidos#MetLife Stadium#250,083 / 250,083#$70,284,615
25 de mayo#East Rutherford[b]​#Estados Unidos#MetLife Stadium#250,083 / 250,083#$70,284,615
28 de mayo#East Rutherford[b]​#Estados Unidos#MetLife Stadium#250,083 / 250,083#$70,284,615
29 de mayo#East Rutherford[b]​#Estados Unidos#MetLife Stadium#250,083 / 250,083#$70,284,615
Europa#Europa#Europa#Europa#Europa#Europa
5 de junio#Londres#Reino Unido#Tottenham Hotspur Stadium#275,399 / 275,399#$61,422,420
7 de junio#Londres#Reino Unido#Tottenham Hotspur Stadium#275,399 / 275,399#$61,422,420
10 de junio#Londres#Reino Unido#Tottenham Hotspur Stadium#275,399 / 275,399#$61,422,420
12 de junio#Londres#Reino Unido#Tottenham Hotspur Stadium#275,399 / 275,399#$61,422,420
14 de junio#Londres#Reino Unido#Tottenham Hotspur Stadium#275,399 / 275,399#$61,422,420
16 de junio#Londres#Reino Unido#Tottenham Hotspur Stadium#275,399 / 275,399#$61,422,420
19 de junio#Saint-Denis[c]​#Francia#Stade de France#215,025 / 215,025#$39,526,440
21 de junio#Saint-Denis[c]​#Francia#Stade de France#215,025 / 215,025#$39,526,440
22 de junio#Saint-Denis[c]​#Francia#Stade de France#215,025 / 215,025#$39,526,440
Norteamérica#Norteamérica#Norteamérica#Norteamérica#Norteamérica#Norteamérica
28 de junio#Houston#Estados Unidos#NRG Stadium#103,353 / 103,353#$35,492,477
29 de junio#Houston#Estados Unidos#NRG Stadium#103,353 / 103,353#$35,492,477
4 de julio#Landover[d]​#Estados Unidos#Northwest Stadium#93,728 / 93,278#$27,426,395
7 de julio#Landover[d]​#Estados Unidos#Northwest Stadium#93,728 / 93,278#$27,426,395
10 de julio#Atlanta#Estados Unidos#Mercedes-Benz Stadium#205,909 / 205,909#$55,424,228
11 de julio#Atlanta#Estados Unidos#Mercedes-Benz Stadium#205,909 / 205,909#$55,424,228
13 de julio#Atlanta#Estados Unidos#Mercedes-Benz Stadium#205,909 / 205,909#$55,424,228
