date#city#country#venue#attendance
March 7, 2025#Seoul#South Korea#KSPO Dome#28,682
March 8, 2025 †#Seoul#South Korea#KSPO Dome#28,682
March 9, 2025 ‡#Seoul#South Korea#KSPO Dome#28,682
March 16, 2025#Taipei#Taiwan#Taipei Dome#36,000
March 29, 2025#Pasay[b]#Philippines#SM Mall of Asia Arena#<NA>
April 12, 2025#Jakarta#Indonesia#Indonesia Arena#<NA>
April 26, 2025#Macau#China#Venetian Arena#20,000
April 27, 2025#Macau#China#Venetian Arena#20,000
May 3, 2025#Singapore#Singapore#Singapore Indoor Stadium#<NA>
May 4, 2025#Singapore#Singapore#Singapore Indoor Stadium#<NA>
May 31, 2025#Bangkok#Thailand#Impact Arena#<NA>
June 1, 2025#Bangkok#Thailand#Impact Arena#<NA>
June 7, 2025#Hong Kong#Hong Kong#AsiaWorld–Arena#<NA>
Total#Total#Total#Total#<NA>
