party#party.1#votes#%#seats#+/–
<NA>#Progressive Labour Party#12300#49.64#25#–5
<NA>#One Bermuda Alliance#9133#36.86#11#+5
<NA>#Free Democratic Movement#949#3.83#0#0
<NA>#Emperial Group#116#0.47#0#New
<NA>#Independents#2281#9.21#0#0
Total#Total#24779#100.00#36#0
Valid votes#Valid votes#24779#100.00#<NA>#<NA>
Invalid/blank votes#Invalid/blank votes#0#0.00#<NA>#<NA>
Total votes#Total votes#24779#100.00#<NA>#<NA>
Registered voters/turnout#Registered voters/turnout#45064#54.99#<NA>#<NA>
Source: Parliamentary Registry#Source: Parliamentary Registry#Source: Parliamentary Registry#Source: Parliamentary Registry#Source: Parliamentary Registry#Source: Parliamentary Registry
