pos._pos.#no._no.#driver_driver#team_team#qualifying_times_q1#qualifying_times_q2#qualifying_times_q3#final_grid_final_grid
1#93#Broc Feeney#mtec Motorsport#1:29.660#1:29.688#1:29.032#1
2#87#Will Brown#Giles Motorsport#1:29.421#1:29.452#1:29.186#2
3#5#Patrick Heuzenroeder#mtec Motorsport#1:29.320#1:29.495#1:29.216#61
4#3#Zack Scoular#M2 Competition#1:29.600#1:29.672#1:29.222#3
5#1#Arvid Lindblad#M2 Competition#1:29.418#1:29.597#1:29.226#4
6#32#Shawn Rashid#mtec Motorsport#1:29.733#1:29.620#1:29.503#5
7#17#Nikita Johnson#M2 Competition#1:29.856#1:29.803#1:29.706#7
8#22#Jett Bowling#Kiwi Motorsport#1:30.153#1:29.891#1:30.146#8
9#9#Nicholas Monteiro#mtec Motorsport#1:30.015#1:29.976#<NA>#9
10#23#Michael Shin#M2 Competition#1:29.507#1:30.035#<NA>#10
11#15#Nicolas Stati#Kiwi Motorsport#1:30.179#1:30.209#<NA>#11
12#8#Matías Zagazeta#M2 Competition#1:29.656#1:30.312#<NA>#12
13#69#Sebastian Manson#M2 Competition#1:30.170#1:30.476#<NA>#13
14#77#Enzo Yeh#M2 Competition#1:30.254#<NA>#<NA>#14
15#41#Alex Crosbie#Giles Motorsport#1:30.304#<NA>#<NA>#15
16#88#James Lawley#Kiwi Motorsport#1:30.594#<NA>#<NA>#16
17#13#Barrett Wolfe#Giles Motorsport#1:31.070#<NA>#<NA>#17
107% time: 1:35.264#107% time: 1:35.264#107% time: 1:35.264#107% time: 1:35.264#107% time: 1:35.264#107% time: 1:35.264#107% time: 1:35.264#107% time: 1:35.264
Source:#Source:#Source:#Source:#Source:#Source:#Source:#Source:
