rank#bib#athlete#country#start_time#cross-country_time#cross-country_rank#finish_time#deficit
<NA>#1#Jarl Magnus Riiber#Norway#+0:00#17:13.4#17#17:13.4#<NA>
<NA>#16#Jens Lurås Oftebro#Norway#+0:50#16:24.2#1#17:14.2#+0.8
<NA>#6#Vinzenz Geiger#Germany#+0:26#16:48.5#2#17:14.5#+1.1
4.0#3#Julian Schmid#Germany#+0:12#17:05.1#10#17:17.1#+3.7
5.0#4#Johannes Lamparter#Austria#+0:17#17:01.7#8#17:18.7#+5.3
6.0#8#Jørgen Gråbak#Norway#+0:33#17:05.4#11#17:38.4#+25.0
7.0#11#Johannes Rydzek#Germany#+0:40#17:00.4#6#17:40.4#+27.0
8.0#14#Stefan Rettenegger#Austria#+0:46#16:55.6#5#17:41.6#+28.2
9.0#5#Martin Fritz#Austria#+0:22#17:20.4#19#17:42.4#+29.0
10.0#7#Laurent Muhlethaler#France#+0:30#17:12.9#16#17:42.9#+29.5
11.0#2#Ryota Yamamoto#Japan#+0:06#17:37.4#26#17:43.4#+30.0
12.0#15#Ilkka Herola#Finland#+0:48#16:55.5#4#17:43.5#+30.1
13.0#9#Akito Watabe#Japan#+0:36#17:08.0#12#17:44.0#+30.6
14.0#10#Franz-Josef Rehrl#Austria#+0:38#17:11.8#15#17:49.8#+36.4
15.0#34#Einar Lurås Oftebro#Norway#+1:25#16:52.8#3#18:17.8#+1:04.4
16.0#26#Eero Hirvonen#Finland#+1:10#17:08.9#13#18:18.9#+1:05.5
17.0#31#Gaël Blondeau#France#+1:20#17:00.6#7#18:20.6#+1:07.2
18.0#25#Aaron Kostner#Italy#+1:10#17:11.7#14#18:21.7#+1:08.3
19.0#32#Alessandro Pittin#Italy#+1:20#17:02.2#9#18:22.2#+1:08.8
20.0#20#Kristjan Ilves#Estonia#+0:58#17:25.1#22#18:23.1#+1:09.7
21.0#13#Ben Loomis#United States#+0:44#17:41.4#27#18:25.4#+1:12.0
22.0#24#Raffaele Buzzi#Italy#+1:05#17:20.5#20#18:25.5#+1:12.1
23.0#22#Manuel Faißt#Germany#+1:05#17:21.4#21#18:26.4#+1:13.0
24.0#21#Wille Karhumaa#Finland#+1:00#17:31.7#24#18:31.7#+1:18.3
25.0#28#Jan Vytrval#Czech Republic#+1:15#17:17.0#18#18:32.0#+1:18.6
26.0#12#Sora Yachi#Japan#+0:42#18:01.0#29#18:43.0#+1:29.6
27.0#38#Andreas Skoglund#Norway#+1:30#17:31.1#23#19:01.1#+1:47.7
28.0#18#Jiří Konvalinka#Czech Republic#+0:54#18:07.4#31#19:01.4#+1:48.0
29.0#27#Niklas Malacinski#United States#+1:10#17:56.1#28#19:06.1#+1:52.7
30.0#23#Shogo Azegami#Japan#+1:05#18:01.2#30#19:06.2#+1:52.8
31.0#41#Stephen Schumann#United States#+1:30#17:36.7#25#19:06.7#+1:53.3
32.0#17#Pascal Müller#Switzerland#+0:52#18:16.0#34#19:08.0#+1:54.6
33.0#30#Herman Happonen#Finland#+1:15#18:16.3#35#19:31.3#+2:17.9
34.0#35#Vid Vrhovnik#Slovenia#+1:25#18:12.5#32#19:37.5#+2:24.1
35.0#33#Gašper Brecl#Slovenia#+1:20#18:18.9#36#19:38.9#+2:25.5
36.0#37#Edgar Vallet#France#+1:30#18:12.7#33#19:42.7#+2:29.3
