constituency#candidate#party.1#votes#%
1 - Island Harbour#Ellis Lorenzo Webster#Anguilla Progressive Movement#573.0#55.0
1 - Island Harbour#Claude C. Smith#Anguilla United Front#313.0#30.1
1 - Island Harbour#Palmavon Webster#Independent#115.0#11.1
1 - Island Harbour#Keith Fabian#Independent#40.0#3.8
2 - Sandy Hill#Cora Richardson-Hodge#Anguilla United Front#436.0#58.6
2 - Sandy Hill#Lennox Vanterpool#Anguilla Progressive Movement#308.0#41.4
3 - Valley North#Shellya Rogers-Webster#Anguilla United Front#919.0#66.4
3 - Valley North#Courtney Morton#Anguilla Progressive Movement#466.0#33.6
4 - Valley South#Cordell Richardson#Anguilla United Front#951.0#55.7
4 - Valley South#Dee-Ann Kentish-Rogers#Anguilla Progressive Movement#756.0#44.3
5 - Road North#Merrick Richardson#Anguilla Progressive Movement#339.0#48.7
5 - Road North#Davon C. Carty#Anguilla United Front#306.0#44.0
5 - Road North#Aristo Richardson#Anguilla Reliable Team#51.0#7.3
6 - Road South#Haydn Hughes#Anguilla Progressive Movement#792.0#65.7
6 - Road South#Patrick Mardenborough#Anguilla United Front#351.0#29.1
6 - Road South#Marie Connor#Anguilla Reliable Team#62.0#5.2
7 - West End#Cardigan Connor#Anguilla United Front#378.0#54.7
7 - West End#Jamie D. Hodge#Anguilla Progressive Movement#309.0#44.7
7 - West End#Kevin Pickering-Meyers#Anguilla Reliable Team#4.0#0.6
Island Wide (4 seats)#Kyle Hodge#Anguilla United Front#4002.0#13.6
Island Wide (4 seats)#José Vanterpool#Anguilla United Front#3872.0#13.1
Island Wide (4 seats)#Evans McNiel Rogers#Anguilla United Front#3377.0#11.5
Island Wide (4 seats)#Jeison Bryan#Anguilla United Front#3362.0#11.4
Island Wide (4 seats)#Quincia Gumbs-Marie#Anguilla Progressive Movement#3245.0#11.0
Island Wide (4 seats)#Kenneth Hodge#Anguilla Progressive Movement#3199.0#10.9
Island Wide (4 seats)#Glenneva Hodge#Anguilla Progressive Movement#3146.0#10.7
Island Wide (4 seats)#Othlyn Vanterpool#Anguilla Progressive Movement#3086.0#10.5
Island Wide (4 seats)#Curtis Richardson#Anguilla Reliable Team#780.0#2.6
Island Wide (4 seats)#Evan Gumbs#Anguilla Reliable Team#401.0#1.4
Island Wide (4 seats)#Lanny Leo Hobson#Independent#370.0#1.3
Island Wide (4 seats)#Rommel Hughes#Anguilla Reliable Team#221.0#0.7
Island Wide (4 seats)#Avenella Griffith#Independent#211.0#0.7
Island Wide (4 seats)#Marvo Duncan-Webster#Anguilla Reliable Team#125.0#0.4
Island Wide (4 seats)#Yusuf Abdul Ali#Independent#69.0#0.2
