parliament#years#member.1#party
38th#2004–2006#Louise Thibault#Bloc Québécois
39th#2006–2007#Louise Thibault#Bloc Québécois
39th#2007–2008#Louise Thibault#Independent
40th#2008–2011#Claude Guimond#Bloc Québécois
41st#2011–2015#Guy Caron#New Democratic
42nd#2015–2019#Guy Caron#New Democratic
43rd#2019–2021#Maxime Blanchette-Joncas#Bloc Québécois
44th#2021–2025#Maxime Blanchette-Joncas#Bloc Québécois
Rimouski—La Matapédia incorporating parts of Avignon—La Mitis—Matane—Matapédia#Rimouski—La Matapédia incorporating parts of Avignon—La Mitis—Matane—Matapédia#Rimouski—La Matapédia incorporating parts of Avignon—La Mitis—Matane—Matapédia#Rimouski—La Matapédia incorporating parts of Avignon—La Mitis—Matane—Matapédia
45th#2025–present#Maxime Blanchette-Joncas#Bloc Québécois
