rank#name#nation#score#10#9
1#Nicolas Girard#France#599#59#1
2#Jozef Bosansky#Slovakia#596#56#4
3#Mathias Fullerton#Denmark#595#55#5
4#Batuhan Akçaoğlu#Turkey#595#55#5
5#Łukasz Przybylski#Poland#594#54#6
6#Marco Bruno#Italy#592#52#8
7#Emircan Haney#Turkey#591#51#9
8#Michea Godano#Italy#591#51#9
9#Alex Boggiatto#Italy#591#51#9
10#Mario Vavro#Croatia#590#50#10
11#Martin Damsbo#Denmark#590#50#10
12#Ivan Zhulin#Authorised Neutral Athletes#588#48#12
13#Przemysław Konecki#Poland#588#48#12
14#Ahmet Can Yolaç#Turkey#588#48#12
15#Rui Pereira Baptista#Portugal#584#44#16
16#Bato Angarkhaev#Authorised Neutral Athletes#584#44#16
17#Rares Daniel Alexandrescu#Romania#583#43#17
18#Johannes Poulsen#Faroe Islands#583#43#17
19#Martin Laursen#Denmark#580#40#20
20#Ilia Silaev#Authorised Neutral Athletes#578#39#20
21#Jorge Alves#Portugal#576#38#21
22#Alfred Birgisson#Iceland#573#34#25
23#Rafal Dobrowolski#Poland#572#37#20
24#Nikkel Petersen#Faroe Islands#564#24#36
25#Jogvan Niclasen#Faroe Islands#562#24#34
26#Benedikt Máni Tryggvason#Iceland#514#8#38
27#Gummi Gudjonsson#Iceland#27#0#3
