rank#bib#name#country#distance_(m)#points#time_difference
1#49#Jarl Magnus Riiber#Norway#139.0#158.5#<NA>
2#36#Ryota Yamamoto#Japan#134.0#140.1#+1:14
3#37#Espen Bjørnstad#Norway#138.5#138.8#+1:19
4#47#Julian Schmid#Germany#127.0#135.6#+1:32
5#46#Johannes Lamparter#Austria#131.5#134.6#+1:36
6#30#Simen Tiller#Norway#135.0#133.7#+1:39
7#39#Jørgen Gråbak#Norway#136.5#130.5#+1:52
8#44#Ilkka Herola#Finland#131.5#129.9#+1:54
9#48#Vinzenz Geiger#Germany#127.5#123.9#+2:18
10#38#Wendelin Thannheimer#Germany#133.0#123.4#+2:20
11#41#Kristjan Ilves#Estonia#127.0#123.1#+2:22
12#45#Jens Lurås Oftebro#Norway#133.0#122.7#+2:23
13#20#Marco Heinis#France#136.0#119.7#+2:35
14#13#Pascal Müller#Switzerland#130.0#119.5#+2:36
15#42#Johannes Rydzek#Germany#126.0#118.7#+2:39
16#40#Franz-Josef Rehrl#Austria#129.5#117.5#+2:44
17#29#Sora Yachi#Japan#132.0#117.0#+2:46
18#25#Vid Vrhovnik#Slovenia#126.0#113.4#+3:00
19#35#Laurent Muhlethaler#France#124.5#112.6#+3:04
20#31#Aaron Kostner#Italy#127.0#111.5#+3:08
21#11#Oleksandr Shumbarets#Ukraine#123.5#110.8#+3:11
22#33#Fabio Obermeyr#Austria#123.0#109.2#+3:17
23#10#Shogo Azegami#Japan#115.5#108.8#+3:19
24#43#Stefan Rettenegger#Austria#124.0#107.9#+3:22
25#15#Jiří Konvalinka#Czech Republic#117.0#107.1#+3:26
26#1#Hektor Kapustík#Slovakia#128.5#106.9#+3:26
27#12#Zhao Jiawen#China#123.0#106.5#+3:28
28#28#Akito Watabe#Japan#117.5#105.2#+3:33
29#32#Ben Loomis#United States#122.5#104.3#+3:37
30#23#Jan Vytrval#Czech Republic#117.0#103.7#+3:39
31#21#Raffaele Buzzi#Italy#119.0#103.5#+3:40
32#19#Otto Niittykoski#Finland#119.0#102.8#+3:43
33#22#Wille Karhumaa#Finland#111.5#96.2#+4:09
34#34#Niklas Malacinski#United States#111.0#89.0#+4:38
35#2#Iacopo Bortolas#Italy#114.5#87.4#+4:44
36#14#Gašper Brecl#Slovenia#114.0#86.5#+4:48
37#26#Gaël Blondeau#France#114.0#84.9#+4:54
38#16#Dmytro Mazurchuk#Ukraine#109.5#78.9#+5:18
39#24#Stephen Schumann#United States#109.0#73.3#+5:41
40#8#Ruslan Shumanskyi#Ukraine#102.0#71.6#+5:48
41#18#Edgar Vallet#France#101.0#64.1#+6:18
42#27#Eero Hirvonen#Finland#98.5#58.6#+6:40
43#3#Paweł Szyndlar#Poland#97.5#57.9#+6:42
44#9#Erik Lynch#United States#87.0#51.7#+7:07
45#7#Andrzej Waliczek#Poland#96.0#47.5#+7:24
46#17#Alessandro Pittin#Italy#89.5#41.8#+7:47
47#5#Oleksandr Shovkoplias#Ukraine#85.0#39.8#+7:55
48#4#Chingiz Rakparov#Kazakhstan#78.0#11.8#+9:47
