name#term_start#residence
Noda Hiromichi [ja]#5 September 1871#Kumamoto Prefecture
Shigeyoshi Hishida [Ja]#7 November 1871#Gifu Prefecture
Masaomi Kitadai [Ja]#20 August 1873#Kōchi Prefecture
Tanetoku Ikeda [Ja]#11 February 1874#Hiroshima Prefecture
Yoshikan Shiotani [Ja]#7 November 1874#Yamagata Prefecture
Masaomi Kitadai (reelection)#17 August 1876#Kōchi Prefecture
Hidenori Yamada [Ja]#22 August 1876#Kumamoto Prefecture
Kanenori Goda [Ja]#14 January 1882#Kagoshima Prefecture
Kususei Fukushima [Ja]#22 December 1883#Saga Prefecture
Nabeshima Miki#24 July 1886#Saga Prefecture
Tamasa Sawa [ja]#26 December 1889#Miyagi Prefecture
Naomasa Park [ja]#12 August 1896#Nagasaki Prefecture
Shuichiro Kono [Ja]#13 November 1897#Kagoshima Prefecture
Tadashi Munakata#21 Janusury 1899#Kumamoto Prefecture
Kazuji Yamauchi [ja]#17 April 1901#Kagoshima Prefecture
Katsutaro Inuzuka [Ja]#26 April 1904#Yamagata Prefecture
Shotaro Nishizawa [Ja]#17 November 1904#Nagano Prefecture
Takeda Chiyosaburo [ja]#12 June 1908#Fukuoka Prefecture
Takeo Tanaka [ja]#1 June 1913#Tokyo Prefecture
Kohama Matsujiro [ja]#28 April 1914#Kagoshima Prefecture
Kawamura Takeji#17 January 1917#Akita Prefecture
Sawada Ushimaro [ja]#3 October 1918#Kōchi Prefecture
Hidehiko Michioka [ja]#18 April 1919#Kagoshima Prefecture
Harutoshi Kahei [ja]#9 March 1921#Okayama Prefecture
Yujiro Ozaki [ja]#28 September 1921#Hyōgo Prefecture
Baba Kazue [ja]#25 October 1923#Kumamoto Prefecture
Ogata Yuichiro [ja]#6 June 1924#Kumamoto Prefecture
Matsubara Gonshiro [ja]#24 June 1924#Kagawa Prefecture
Ryusaku Endo [ja; zh; ko]#16 September 1925#Saitama Prefecture
Koyanagi Makie [ja]#28 September 1926#Niigata Prefecture
Jiro Morioka [ja; zh]#27 May 1927#Nara Prefecture
Tetsuzo Yoshimura [ja]#7 November 1927#Tottori Prefecture
Yujiro Shinjo [ja]#30 January 1929#Kyoto Prefecture
Mitsuo Hirai [ja]#5 July 1929#Kumamoto Prefecture
Masao Moriya [ja]#26 August 1930#Kumamoto Prefecture
Teizaburo Miyamoto [ja]#18 December 1931#Miyagi Prefecture
Yasunobu Taku [ja]#28 June 1932#Saga Prefecture
Mitsumasa Kobayashi [ja]#11 August 1934#Tochigi Prefecture
Masayoshi Ogawa#16 October 1936#Tochigi Prefecture
Minoru Suzuki#1 March 1939#Shizuoka Prefecture
Seiichi Ueda [ja]#24 July 1940#Ishikawa Prefecture
Shunsuke Yamada [ja]#9 January 1942#Hyōgo Prefecture
Kohei Utsunomiya [ja]#31 March 1943#Ehime Prefecture
Hiroo Ohshima [ja]#1 August 1944#Ishikawa Prefecture
Motohiko Kanai [ja]#21 April 1945#Hyōgo Prefecture
Renji Ohno [ja]#25 January 1946#Chiba Prefecture
Fuyuo Hayasaka [ja]#11 March 1947#Miyagi Prefecture
